account,source_file
유동자산,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
현금및현금성자산,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기타금융자산,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
매도가능금융자산,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
매출채권,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기타채권,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
재고자산,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기타유동자산,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
비유동자산,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
비유동매도가능금융자산,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기타비유동금융자산,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
유형자산,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
무형자산,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기타비유동채권,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기타비유동자산,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
이연법인세자산,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
자산총계,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
유동부채,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
매입채무,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기타유동부채,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
비유동부채,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
장기차입금,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
퇴직급여채무,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
부채총계,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
지배기업의 소유주에게 귀속되는 자본,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
납입자본,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
자본금,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
자본잉여금,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기타자본항목,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
기타포괄손익누계액,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
이익잉여금(결손금),finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
비지배지분,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
자본총계,finstate_all__corp=00100601__year=2016__reprt=11011__fs=CFS__asof=2025-08-31.parquet
