"Pattern","File","Line","Text"
"current_portfolio","C:\Users\chanw\ai_inv_adv\scripts\archive\run_rebalance_2025-11-30.ps1","21","$HOLDINGS = "".\current_portfolio\20260314_holdings_clean_manual.csv"""
"current_portfolio","C:\Users\chanw\ai_inv_adv\scripts\backtest\run_rebalance_2025-11-30.ps1","21","$HOLDINGS = "".\current_portfolio\20260314_holdings_clean_manual.csv"""
"current_portfolio","C:\Users\chanw\ai_inv_adv\scripts\ops\audit_data_layout.py","54","r""current_portfolio"","
"current_portfolio","C:\Users\chanw\ai_inv_adv\scripts\ops\audit_data_layout.py","255","old_dir = ROOT / ""current_portfolio"""
"current_portfolio","C:\Users\chanw\ai_inv_adv\scripts\ops\audit_data_layout.py","262","f""구경로 current_portfolio 아래 holdings 파일이 남아 있습니다. """
"execution.yaml","C:\Users\chanw\ai_inv_adv\scripts\archive\run_rebalance_2025-11-30.ps1","83","& $PY .\scripts\live\make_execution_plan.py --actions_csv .\data\processed\live_actions__asof=${ASOF}__metric=${METRIC}__strat=${STRAT}__target=${TARGET}__v=${ACTION_V}.csv --total_capital $TOTAL_CAPITAL --config .\configs\execution.yaml --out_v $EXEC_V --asof $ASOF --metric $METRIC --ret_v 1 --price_date $TRADE"
"execution.yaml","C:\Users\chanw\ai_inv_adv\scripts\backtest\run_rebalance_2025-11-30.ps1","83","& $PY .\scripts\live\make_execution_plan.py --actions_csv .\data\processed\live_actions__asof=${ASOF}__metric=${METRIC}__strat=${STRAT}__target=${TARGET}__v=${ACTION_V}.csv --total_capital $TOTAL_CAPITAL --config .\configs\execution.yaml --out_v $EXEC_V --asof $ASOF --metric $METRIC --ret_v 1 --price_date $TRADE"
"execution.yaml","C:\Users\chanw\ai_inv_adv\scripts\live\run_live_rebalance.ps1","110","--config "".\configs\execution.yaml"" `"
"execution_plan__total","C:\Users\chanw\ai_inv_adv\scripts\archive\run_rebalance_2025-11-30.ps1","87","& $PY .\scripts\generate_rebalance_report.py --actions_csv .\data\processed\live_actions__asof=${ASOF}__metric=${METRIC}__strat=${STRAT}__target=${TARGET}__v=${ACTION_V}.csv --features_live .\data\processed\features_live__asof=${ASOF}__metric=${METRIC}__v=${FACTOR_V}.parquet --execution_plan .\data\processed\execution_plan__total=100000000__v=${EXEC_V}.csv --supp_file .\data\processed\krx_marketdata__asof=${ASOF}__src=pykrx__lookback=365d__v=1.parquet --supp_file .\data\processed\latest_scores__asof=${ASOF}__metric=${METRIC}__strat=${STRAT}__featv=${FACTOR_V}__target=${TARGET}__full_universe.csv --supp_file .\data\processed\fundamentals_quarterly__asof=${ASOF}__src=dart_merged__fs=CFS__y=2015-2025__v=${FUND_V}.parquet --strategy $STRAT --asof $ASOF --target_date $TARGET --output_md .\data\processed\rebalance_report__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.md --output_csv .\data\processed\rebalance_report_detail__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.csv --output_html .\data\processed\rebalance_report__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.html"
"execution_plan__total","C:\Users\chanw\ai_inv_adv\scripts\backtest\run_rebalance_2025-11-30.ps1","87","& $PY .\scripts\generate_rebalance_report.py --actions_csv .\data\processed\live_actions__asof=${ASOF}__metric=${METRIC}__strat=${STRAT}__target=${TARGET}__v=${ACTION_V}.csv --features_live .\data\processed\features_live__asof=${ASOF}__metric=${METRIC}__v=${FACTOR_V}.parquet --execution_plan .\data\processed\execution_plan__total=100000000__v=${EXEC_V}.csv --supp_file .\data\processed\krx_marketdata__asof=${ASOF}__src=pykrx__lookback=365d__v=1.parquet --supp_file .\data\processed\latest_scores__asof=${ASOF}__metric=${METRIC}__strat=${STRAT}__featv=${FACTOR_V}__target=${TARGET}__full_universe.csv --supp_file .\data\processed\fundamentals_quarterly__asof=${ASOF}__src=dart_merged__fs=CFS__y=2015-2025__v=${FUND_V}.parquet --strategy $STRAT --asof $ASOF --target_date $TARGET --output_md .\data\processed\rebalance_report__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.md --output_csv .\data\processed\rebalance_report_detail__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.csv --output_html .\data\processed\rebalance_report__asof=${ASOF}__target=${TARGET}__metric=${METRIC}__strat=${STRAT}__v=${REPORT_V}.html"
