ticker,name_final,action,reason,shares,price,adv20_value,current_value,target_value,trade_value,order_side,max_day_value,day1_qty,day1_order_value,day2_qty,day2_order_value,day3_qty,day3_order_value,planned_total_qty,planned_total_value,unplanned_value,est_slippage_bps,score,score_rank,industry4
005690,파미셀,BUY,전략 신규 편입 (rank=1),0.0,17470,91529677023.0,0.0,10000000.0,10000000.0,BUY,13729451553.449999,228,3983160.0,171,2987370.0,171,2987370.0,570,9957900.0,42100.0,5.001087942219822,4.074332222001554,1.0,211
095610,테스,BUY,전략 신규 편입 (rank=2),0.0,41700,15379207845.0,0.0,10000000.0,10000000.0,BUY,2306881176.75,95,3961500.0,71,2960700.0,71,2960700.0,237,9882900.0,117100.0,5.00642614372574,4.041310994137562,2.0,29271
060280,큐렉소,BUY,전략 신규 편입 (rank=3),0.0,10670,10446091300.0,0.0,10000000.0,10000000.0,BUY,1566913695.0,374,3990580.0,281,2998270.0,281,2998270.0,936,9987120.0,12880.0,5.009560628672659,3.978768792842944,3.0,47812
302440,SK바이오사이언스,BUY,전략 신규 편입 (rank=4),0.0,54600,16299213260.0,0.0,10000000.0,10000000.0,BUY,2444881989.0,73,3985800.0,54,2948400.0,54,2948400.0,181,9882600.0,117400.0,5.006063237435057,3.939420576528376,4.0,211
450080,에코프로머티,BUY,전략 신규 편입 (rank=5),0.0,62900,51037589680.0,0.0,10000000.0,10000000.0,BUY,7655638452.0,63,3962700.0,47,2956300.0,47,2956300.0,157,9875300.0,124700.0,5.001934907205046,3.9207299690376978,5.0,28202
039030,이오테크닉스,BUY,전략 신규 편입 (rank=6),0.0,277000,43299988625.0,0.0,10000000.0,10000000.0,BUY,6494998293.75,14,3878000.0,10,2770000.0,10,2770000.0,34,9418000.0,582000.0,5.002175058308113,3.823555736317304,6.0,29271
100840,SNT에너지,BUY,전략 신규 편입 (rank=7),0.0,40300,12834506177.5,0.0,10000000.0,10000000.0,BUY,1925175926.625,99,3989700.0,74,2982200.0,74,2982200.0,247,9954100.0,45900.0,5.0077557327585,3.79042436788437,7.0,29176
206650,유바이오로직스,BUY,전략 신규 편입 (rank=8),0.0,13990,3312914155.5,0.0,10000000.0,10000000.0,BUY,496937123.325,285,3987150.0,214,2993860.0,214,2993860.0,713,9974870.0,25130.0,5.030109050617686,3.7512846344031687,8.0,212
218410,RFHIC,BUY,전략 신규 편입 (rank=9),0.0,30400,14673611510.0,0.0,10000000.0,10000000.0,BUY,2201041726.5,131,3982400.0,98,2979200.0,98,2979200.0,327,9940800.0,59200.0,5.0067746103222275,3.7179640598406585,9.0,264
036810,에프에스티,BUY,전략 신규 편입 (rank=10),0.0,32676,13873121921.65,0.0,10000000.0,10000000.0,BUY,2080968288.2475,122,3986472.0,91,2973516.0,91,2973516.0,304,9933504.0,66496.0,5.007160251352292,3.603465125564517,10.0,2629
