ticker,name_final,action,reason,shares,price,adv20_value,current_value,target_value,trade_value,order_side,max_day_value,day1_qty,day1_order_value,day2_qty,day2_order_value,day3_qty,day3_order_value,planned_total_qty,planned_total_value,unplanned_value,est_slippage_bps,score,score_rank,industry_code,industry_name,industry4
218410,RFHIC,BUY,전략 신규 편입 (rank=1),0.0,82400,68858730195.0,0.0,11111111.111111112,11111111.111111112,BUY,10328809529.25,53,4367200.0,40,3296000.0,40,3296000.0,133,10959200.0,151911.11111111194,5.001591548372874,5.188174929908726,1.0,032604,통신 및 방송 장비 제조업,032604
171090,선익시스템,BUY,전략 신규 편입 (rank=2),0.0,92800,22044608195.0,0.0,11111111.111111112,11111111.111111112,BUY,3306691229.25,47,4361600.0,35,3248000.0,35,3248000.0,117,10857600.0,253511.11111111194,5.0049252859946325,4.687160220105934,2.0,032902,특수 목적용 기계 제조업,032902
060280,큐렉소,BUY,전략 신규 편입 (rank=3),0.0,17460,20845800862.0,0.0,11111111.111111112,11111111.111111112,BUY,3126870129.2999997,254,4434840.0,190,3317400.0,190,3317400.0,634,11069640.0,41471.11111111194,5.005310249327086,4.499499063518583,3.0,074708,기타 상품 전문 소매업,074708
041920,메디아나,BUY,전략 신규 편입 (rank=4),0.0,19900,6984348028.5,0.0,11111111.111111112,11111111.111111112,BUY,1047652204.275,223,4437700.0,167,3323300.0,167,3323300.0,557,11084300.0,26811.11111111194,5.0158701999882735,4.054977170428522,4.0,032701,의료용 기기 제조업,032701
425420,티에프이,BUY,전략 신규 편입 (rank=5),0.0,69000,18201089087.5,0.0,11111111.111111112,11111111.111111112,BUY,2730163363.125,64,4416000.0,48,3312000.0,48,3312000.0,160,11040000.0,71111.11111111194,5.006065571102326,4.040411394994715,5.0,032602,전자부품 제조업,032602
042000,카페24,BUY,전략 신규 편입 (rank=6),0.0,27800,3520564037.5,0.0,11111111.111111112,11111111.111111112,BUY,528084605.625,159,4420200.0,119,3308200.0,119,3308200.0,397,11036600.0,74511.11111111194,5.031348953981355,3.991892675176144,6.0,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",106301
131290,티에스이,BUY,전략 신규 편입 (rank=7),0.0,110300,12066630370.0,0.0,11111111.111111112,11111111.111111112,BUY,1809994555.5,40,4412000.0,30,3309000.0,30,3309000.0,100,11030000.0,81111.11111111194,5.009140911473863,3.926225397318579,7.0,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",032702
214150,클래시스,HOLD,기존 보유 상위 점수 유지 (rank=68),600.0,54000,17078616882.5,32400000.0,11111111.111111112,-21288888.888888888,SELL,2561792532.375,275,14850000.0,118,6372000.0,0,0.0,393,21222000.0,66888.88888888806,5.012426064795531,0.2849782459854147,68.0,032701,의료용 기기 제조업,032701
005930,삼성전자,HOLD,기존 보유 상위 점수 유지 (rank=150),100.0,179700,6439185386235.0,17970000.0,11111111.111111112,-6858888.888888888,SELL,965877807935.25,26,4672200.0,11,1976700.0,0,0.0,37,6648900.0,209988.88888888806,5.000010325685007,-2.3445284209451747,150.0,032604,통신 및 방송 장비 제조업,032604
058470,리노공업,HOLD_REVIEW,평가 보류 유지 (no_feature_history),50.0,104900,131891252740.0,5245000.0,0.0,-5245000.0,REVIEW,19783687911.0,34,3566600.0,15,1573500.0,0,0.0,49,5140100.0,104900.0,5.000389722585328,,,032602,전자부품 제조업,032602
