ticker,name_final,shares,current_shares,current_weight,target_shares,target_value,score,score_rank,industry4,is_current,is_target,action,reason
005690,파미셀,,,,,,3.449332222001554,1.0,211.0,0,1,BUY,전략 신규 편입 (rank=1)
095610,테스,,,,,,3.416310994137562,2.0,29271.0,0,1,BUY,전략 신규 편입 (rank=2)
302440,SK바이오사이언스,,,,,,3.3144205765283763,3.0,211.0,0,1,BUY,전략 신규 편입 (rank=3)
206650,유바이오로직스,,,,,,3.2512846344031687,4.0,212.0,0,1,BUY,전략 신규 편입 (rank=4)
218410,RFHIC,,,,,,3.2179640598406585,5.0,264.0,0,1,BUY,전략 신규 편입 (rank=5)
450080,에코프로머티,,,,,,3.10255322938966,6.0,28202.0,0,1,BUY,전략 신규 편입 (rank=6)
060280,큐렉소,,,,,,3.0469531915663843,7.0,47812.0,0,1,BUY,전략 신규 편입 (rank=7)
036810,에프에스티,,,,,,2.9784651255645174,8.0,2629.0,0,1,BUY,전략 신규 편입 (rank=8)
356860,티엘비,,,,,,2.9586441913518766,9.0,2622.0,0,1,BUY,전략 신규 편입 (rank=9)
039030,이오테크닉스,,,,,,2.936330688709259,10.0,29271.0,0,1,BUY,전략 신규 편입 (rank=10)
058470,리노공업,50.0,50.0,,,,1.568960117415115,70.0,2629.0,1,0,SELL,전략 탈락 (universe_rank=70)
214150,클래시스,600.0,600.0,,,,1.0131425042586617,102.0,271.0,1,0,SELL,전략 탈락 (universe_rank=102)
005930,삼성전자,100.0,100.0,,,,-1.920357222026445,414.0,264.0,1,0,SELL,전략 탈락 (universe_rank=414)
