ticker,name,score,score_rank,industry4,is_current,is_target,action,reason
322000,HD현대에너지솔루션,3.7031390244269753,11.0,2612,0,0,CHECK,후보군 참고용 (비보유/비선정)
397030,에이프릴바이오,3.6874078902233136,12.0,70113,0,0,CHECK,후보군 참고용 (비보유/비선정)
098460,고영,3.648634105290692,13.0,29271,0,0,CHECK,후보군 참고용 (비보유/비선정)
247540,에코프로비엠,3.618857787851793,14.0,28202,0,0,CHECK,후보군 참고용 (비보유/비선정)
356860,티엘비,3.5489687189810413,15.0,2622,0,0,CHECK,후보군 참고용 (비보유/비선정)
353200,대덕전자,3.523429334838343,16.0,2622,0,0,CHECK,후보군 참고용 (비보유/비선정)
298380,에이비엘바이오,3.4519411933366992,17.0,211,0,0,CHECK,후보군 참고용 (비보유/비선정)
402340,SK스퀘어,3.3960930517678776,18.0,64992,0,0,CHECK,후보군 참고용 (비보유/비선정)
131290,티에스이,3.294431269210253,19.0,27212,0,0,CHECK,후보군 참고용 (비보유/비선정)
178920,PI첨단소재,3.2594736895877765,20.0,2221,0,0,CHECK,후보군 참고용 (비보유/비선정)
000100,유한양행,3.20955267228866,21.0,212,0,0,CHECK,후보군 참고용 (비보유/비선정)
095610,테스,3.207069002287817,22.0,29271,0,0,CHECK,후보군 참고용 (비보유/비선정)
373220,LG에너지솔루션,3.186746868029733,23.0,28202,0,0,CHECK,후보군 참고용 (비보유/비선정)
009420,한올바이오파마,3.1195740472004787,24.0,212,0,0,CHECK,후보군 참고용 (비보유/비선정)
251270,넷마블,3.095543797077692,25.0,5821,0,0,CHECK,후보군 참고용 (비보유/비선정)
052400,코나아이,3.043596910880564,26.0,58221,0,0,CHECK,후보군 참고용 (비보유/비선정)
263750,펄어비스,3.037420421676808,27.0,58211,0,0,CHECK,후보군 참고용 (비보유/비선정)
001430,세아베스틸지주,3.036353442063559,28.0,2411,0,0,CHECK,후보군 참고용 (비보유/비선정)
126340,비나텍,3.02996494738611,29.0,282,0,0,CHECK,후보군 참고용 (비보유/비선정)
033240,자화전자,2.982470514982116,30.0,26292,0,0,CHECK,후보군 참고용 (비보유/비선정)
326030,에스케이바이오팜,2.908396046404781,31.0,7011,0,0,CHECK,후보군 참고용 (비보유/비선정)
003670,포스코퓨처엠,2.829286035878154,32.0,282,0,0,CHECK,후보군 참고용 (비보유/비선정)
252990,샘씨엔에스,2.804623641232672,33.0,2629,0,0,CHECK,후보군 참고용 (비보유/비선정)
083650,비에이치아이,2.778240486137056,34.0,29176,0,0,CHECK,후보군 참고용 (비보유/비선정)
018880,한온시스템,2.768040008382953,35.0,29172,0,0,CHECK,후보군 참고용 (비보유/비선정)
003620,KG모빌리티,2.744493203763762,36.0,301,0,0,CHECK,후보군 참고용 (비보유/비선정)
000660,SK하이닉스,2.7065496235422355,37.0,2612,0,0,CHECK,후보군 참고용 (비보유/비선정)
319400,현대무벡스,2.7014311946176544,38.0,291,0,0,CHECK,후보군 참고용 (비보유/비선정)
064260,다날,2.6953766351253114,39.0,582,0,0,CHECK,후보군 참고용 (비보유/비선정)
009240,한샘,2.69253714256029,40.0,46431,0,0,CHECK,후보군 참고용 (비보유/비선정)
009830,한화솔루션,2.6910486350849525,41.0,20111,0,0,CHECK,후보군 참고용 (비보유/비선정)
020150,롯데에너지머티리얼즈,2.664645049949857,42.0,2629,0,0,CHECK,후보군 참고용 (비보유/비선정)
030610,교보증권,2.663191311525945,43.0,66121,0,0,CHECK,후보군 참고용 (비보유/비선정)
225570,넥슨게임즈,2.6159486620910517,44.0,582,0,0,CHECK,후보군 참고용 (비보유/비선정)
042520,한스바이오메드,2.593132601609472,45.0,213,0,0,CHECK,후보군 참고용 (비보유/비선정)
000720,현대건설,2.578727550165868,46.0,41221,0,0,CHECK,후보군 참고용 (비보유/비선정)
068270,셀트리온,2.465462736340364,47.0,211,0,0,CHECK,후보군 참고용 (비보유/비선정)
122640,예스티,2.459443720141536,48.0,29271,0,0,CHECK,후보군 참고용 (비보유/비선정)
005440,현대지에프홀딩스,2.392550168020336,49.0,64992,0,0,CHECK,후보군 참고용 (비보유/비선정)
001270,부국증권,2.372613658729557,50.0,66121,0,0,CHECK,후보군 참고용 (비보유/비선정)
336570,원텍,2.3531516549213856,51.0,271,0,0,CHECK,후보군 참고용 (비보유/비선정)
006360,GS건설,2.325352807471093,52.0,4111,0,0,CHECK,후보군 참고용 (비보유/비선정)
035760,CJ ENM,2.320085101000275,53.0,602,0,0,CHECK,후보군 참고용 (비보유/비선정)
111770,영원무역,2.289087111239411,54.0,46800,0,0,CHECK,후보군 참고용 (비보유/비선정)
042660,한화오션,2.246135437691829,55.0,3111,0,0,CHECK,후보군 참고용 (비보유/비선정)
206650,유바이오로직스,2.2442000468094547,56.0,212,0,0,CHECK,후보군 참고용 (비보유/비선정)
003540,대신증권,2.2322682394270448,57.0,66121,0,0,CHECK,후보군 참고용 (비보유/비선정)
015760,한국전력공사,2.172023749900164,58.0,35120,0,0,CHECK,후보군 참고용 (비보유/비선정)
035900,JYP Ent.,2.121542992770193,59.0,59201,0,0,CHECK,후보군 참고용 (비보유/비선정)
101490,에스앤에스텍,2.0670383174657805,60.0,2629,0,0,CHECK,후보군 참고용 (비보유/비선정)
005420,코스모화학,2.065595796677664,61.0,2049,0,0,CHECK,후보군 참고용 (비보유/비선정)
249420,일동제약,2.056290524705512,62.0,212,0,0,CHECK,후보군 참고용 (비보유/비선정)
237690,에스티팜,2.054197673438296,63.0,212,0,0,CHECK,후보군 참고용 (비보유/비선정)
139130,iM금융지주,2.04214511493798,64.0,64992,0,0,CHECK,후보군 참고용 (비보유/비선정)
001510,SK증권,1.9640511469664423,65.0,66121,0,0,CHECK,후보군 참고용 (비보유/비선정)
241560,두산밥캣,1.9310858592649147,66.0,29241,0,0,CHECK,후보군 참고용 (비보유/비선정)
027360,아주IB투자,1.9202892982233428,67.0,649,0,0,CHECK,후보군 참고용 (비보유/비선정)
032350,롯데관광개발,1.8480678837966031,68.0,75210,0,0,CHECK,후보군 참고용 (비보유/비선정)
000990,DB하이텍,1.8250956611487517,69.0,2611,0,0,CHECK,후보군 참고용 (비보유/비선정)
004000,롯데정밀화학,1.7859443548645493,70.0,20119,0,0,CHECK,후보군 참고용 (비보유/비선정)
009970,영원무역홀딩스,1.7086211897543582,71.0,64992,0,0,CHECK,후보군 참고용 (비보유/비선정)
457190,이수스페셜티케미컬,1.6315444423220002,72.0,20111,0,0,CHECK,후보군 참고용 (비보유/비선정)
