ticker,name_final,order_side,action,reason,price,order_qty,order_value,score,score_rank,industry4,order_type,execution_day
42520,한스바이오메드,BUY,BUY,전략 신규 편입 (rank=1),42600,93,3961800,8.249315291967747,1.0,213.0,MKT,1
322000,HD현대에너지솔루션,BUY,BUY,전략 신규 편입 (rank=2),122100,32,3907200,3.350396249461218,2.0,2612.0,MKT,1
95610,테스,BUY,BUY,전략 신규 편입 (rank=3),65300,61,3983300,0.8514408280291123,3.0,29271.0,MKT,1
370,한화손해보험,BUY,BUY,전략 신규 편입 (rank=4),6920,578,3999760,0.7401464790144461,4.0,65121.0,MKT,1
298380,에이비엘바이오,BUY,BUY,전략 신규 편입 (rank=5),188000,21,3948000,0.630745246778098,5.0,211.0,MKT,1
100840,SNT에너지,BUY,BUY,전략 신규 편입 (rank=6),45050,88,3964400,0.4082632402213108,6.0,29176.0,MKT,1
41920,메디아나,BUY,BUY,전략 신규 편입 (rank=7),21600,185,3996000,0.408205269769238,7.0,27112.0,MKT,1
3670,포스코퓨처엠,BUY,BUY,전략 신규 편입 (rank=8),190900,20,3818000,0.3528762219460445,8.0,282.0,MKT,1
302440,SK바이오사이언스,BUY,BUY,전략 신규 편입 (rank=9),43700,91,3976700,0.3488680166220682,9.0,211.0,MKT,1
98460,고영,BUY,BUY,전략 신규 편입 (rank=10),29000,137,3973000,0.3369397198519973,10.0,29271.0,MKT,1
5930,삼성전자,SELL,SELL,전략 탈락,183500,40,7340000,,,,MKT,1
58470,리노공업,SELL,SELL,전략 탈락,113500,20,2270000,,,,MKT,1
214150,클래시스,SELL,SELL,전략 탈락,53900,240,12936000,,,,MKT,1
