ticker,action,target_weight,reason_top_features
096770,BUY,0.05,"Revenue_ttm_yoy, Revenue_ttm_yoy, Revenue_ttm_yoy"
005090,BUY,0.05,"Revenue_ttm_yoy, Revenue_ttm_yoy, Revenue_ttm_yoy"
000990,BUY,0.05,"Revenue_ttm_yoy, Revenue_ttm_yoy, Revenue_ttm_yoy"
122640,BUY,0.05,"Revenue_ttm_yoy, OpIncome_ttm_yoy, OpIncome_ttm_yoy"
002790,BUY,0.05,"Revenue_ttm_yoy, Revenue_ttm_yoy, Revenue_ttm_yoy"
002790,BUY,0.05,"Revenue_ttm_yoy, Revenue_ttm_yoy, Revenue_ttm_yoy"
025980,BUY,0.05,"Revenue_ttm_yoy, OpIncome_ttm_yoy, OpIncome_ttm_yoy"
229640,BUY,0.05,"Revenue_ttm_yoy, Revenue_ttm_yoy, Revenue_ttm_yoy"
003380,BUY,0.05,"Revenue_ttm_yoy, Revenue_ttm_yoy, Revenue_ttm_yoy"
253590,BUY,0.05,"Revenue_ttm_yoy, Revenue_ttm_yoy, OpIncome_ttm_yoy"
000990,BUY,0.05,"Revenue_ttm_yoy, Revenue_ttm_yoy, Revenue_ttm_yoy"
000100,BUY,0.05,"Revenue_ttm_yoy, Revenue_ttm_yoy, Revenue_ttm_yoy"
383800,BUY,0.05,"Revenue_ttm_yoy, Revenue_ttm_yoy, OpIncome_ttm_yoy"
003030,BUY,0.05,"Revenue_ttm_yoy, Revenue_ttm_yoy, Revenue_ttm_yoy"
229640,BUY,0.05,"Revenue_ttm_yoy, Revenue_ttm_yoy, Revenue_ttm_yoy"
086520,BUY,0.05,"Revenue_ttm_yoy, Revenue_ttm_yoy, Revenue_ttm_yoy"
042700,BUY,0.05,"Revenue_ttm_yoy, OpIncome_ttm_yoy, Revenue_ttm_yoy"
222080,BUY,0.05,"Revenue_ttm_yoy, Revenue_ttm_yoy, Revenue_ttm_yoy"
066970,BUY,0.05,"Revenue_ttm_yoy, Revenue_ttm_yoy, Revenue_ttm_yoy"
000880,BUY,0.05,"Revenue_ttm_yoy, Revenue_ttm_yoy, Revenue_ttm_yoy"
