ticker,name,corp_code,year,quarter,Revenue_ttm,Revenue_ttm_yoy,Revenue_acc2,OpIncome_ttm,OpIncome_ttm_yoy,OpIncome_acc2,CAPEX_ttm,CAPEX_ttm_yoy,CAPEX_acc2,Debt_to_Equity,Debt_to_Equity_log,CFO_isnull,CFO_warn,CFO_safe,industry,market_cap,cap_bucket,peer_key,score_core,z_Revenue_ttm_yoy,z_OpIncome_ttm_yoy,z_Debt_to_Equity_log,z_CFO_safe,z_rev_cagr,z_ebit_cagr,z_gross_margin,z_ebit_margin,z_roic,z_fcf_conv,z_fcf_stability,z_capex_ratio,z_capex_growth,z_rd_ratio,z_rev_vol,z_ebit_vol,p_pattern_razor,p_pattern_commodity,p_pattern_platform,p_pattern_rnd,p_pattern_infra,score_pattern,score_total,weight
096770,SK이노베이션,00631518,2017,4,3103342788000.0,1.5867334814721912,,1709168894000.0,24.0750886402617,,500154717000.0,2.282778756910081,,-1.3633339024416953,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
005090,SGC에너지,00125150,2021,4,465812280121.0,5.6553389139074,6.399515265454698,75233927314.0,12.322419604936197,15.474485925639968,26033616521.0,130.4400370442801,131.40571624866877,-4.807515743898653,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
000990,DB하이텍,00160843,2016,4,1166179167770.0,42.69505276293754,,255442463796.0,20.98424212229745,,64569013682.0,-0.3274847659327643,,-1.9053833852379045,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
122640,예스티,00530556,2017,4,150431279969.0,1.85419037878997,,15703687503.0,4.159439188381303,,3848676311.0,0.4416095922517109,,-2.0456316870903244,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
002790,아모레퍼시픽홀딩스,00154462,2023,3,155637781029.0,3.2930764338573475,3.575338185864787,131743877653.0,10.007373201590717,10.573902454828513,1164281980.0,1.3506070597758955,0.5893480454039555,-0.4933259062658653,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
002790,아모레퍼시픽홀딩스,00154462,2022,4,153491536539.0,3.252494137759051,3.5636408707144325,129778462631.0,10.543900638548502,11.179292724083847,608732530.0,0.9085295349118492,-0.07021431779234688,-0.08136579274347927,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
025980,아난티,00161781,2022,3,176121253718.0,1.8901818247694502,1.9999666465072123,98954043585.0,96.54011514621588,97.39670274452618,28275605449.0,-0.3759565272519304,-1.2613850573771876,-0.16204319957559477,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
229640,LS에코에너지,01093007,2022,2,14537803766.0,4.47925228149253,5.412425984692998,12117420720.0,45.52583409002862,46.51891680274148,7540000.0,,,-0.8990490629590631,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
003380,하림지주,00148364,2021,4,44863865613.0,1.9582203097367339,1.8042846818976168,29883200494.0,10.817097419175221,-0.13892645353110034,575028200.0,,,-5.842875158065513,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
253590,네오셈,01170865,2023,2,99572059273.0,1.7702651862403473,1.8699886557831829,12493280046.0,6.833804472529296,7.537792963120334,3444797984.0,0.05445586276618197,-2.7270032711769576,-3.2255801476088486,0.0,1,0,0.0,ALL,,,ALL|nan,12.200148490328989,6.0,6.0,0.4002969806579776,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.0,12.200148490328989,0.03333333333333333
