ticker,name,industry4,group_value,year,quarter,rebalance_month,rebalance_month_end,hold_start_month,hold_end_month,w,score,score_adj,score_rank,current_price,price_date,CFO_isnull,CFO_warn,OpIncome_acc2__raw,OpIncome_acc2__contrib,Revenue_acc2__raw,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__contrib,Quality_CFO_to_Assets__raw,Quality_CFO_to_Assets__contrib,CFO_isnull__raw,CFO_isnull__contrib,stock_forward_ret_to_next_rebalance,portfolio_gross_ret_to_next_rebalance,portfolio_net_ret_to_next_rebalance,corp_code,score_total,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Quality_CFO_to_Assets__z,Quality_CFO_to_Assets__rank,Quality_CFO_to_Assets__mult,CFO_isnull__z,CFO_isnull__rank,CFO_isnull__mult
115180,큐리언트,70113,70113,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.5080040537818631,0.5080040537818631,1.0,20112,2016-05-31,1,0,,0.0,,0.0,0.05134198445487137,0.5080040537818631,,0.0,1,-0.0,0.28007923033389925,0.07479234651158517,0.07160449722176443,01042650,0.5080040537818631,0.0,1.0,1.0,0.0,1.0,1.0,-1.451440153662466,281.0,1.0,0.0,1.0,0.30000000000000004,0.0,1.0,0.30000000000000004
196170,알테오젠,70113,70113,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.5080040537818631,0.5080040537818631,1.0,4922,2016-05-31,1,0,,0.0,,0.0,0.05134198445487137,0.5080040537818631,,0.0,1,-0.0,0.21977811782708478,0.07479234651158517,0.07160449722176443,00989619,0.5080040537818631,0.0,1.0,1.0,0.0,1.0,1.0,-1.451440153662466,281.0,1.0,0.0,1.0,0.30000000000000004,0.0,1.0,0.30000000000000004
192080,더블유게임즈,5821,5821,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.5080040537818631,0.5080040537818631,1.0,34212,2016-05-31,1,0,,0.0,,0.0,0.05134198445487137,0.5080040537818631,,0.0,1,-0.0,0.039893444220648444,0.07479234651158517,0.07160449722176443,01010110,0.5080040537818631,0.0,1.0,1.0,0.0,1.0,1.0,-1.451440153662466,281.0,1.0,0.0,1.0,0.30000000000000004,0.0,1.0,0.30000000000000004
214370,케어젠,211,211,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.5057856115262919,0.5057856115262919,4.0,18400,2016-05-31,1,0,,0.0,,0.0,0.054161289345080355,0.5057856115262919,,0.0,1,-0.0,0.26912442396313363,0.07479234651158517,0.07160449722176443,00549891,0.5057856115262919,0.0,1.0,1.0,0.0,1.0,1.0,-1.4451017472179768,280.0,1.0,0.0,1.0,0.30000000000000004,0.0,1.0,0.30000000000000004
214450,파마리서치,213,213,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.5012223833060093,0.5012223833060093,5.0,54000,2016-05-31,1,0,,0.0,,0.0,0.05996046288871186,0.5012223833060093,,0.0,1,-0.0,-0.09446254071661253,0.07479234651158517,0.07160449722176443,00970453,0.5012223833060093,0.0,1.0,1.0,0.0,1.0,1.0,-1.4320639523028837,279.0,1.0,0.0,1.0,0.30000000000000004,0.0,1.0,0.30000000000000004
145020,휴젤,211,211,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.48714970210474096,0.48714970210474096,6.0,115945,2016-05-31,1,0,,0.0,,0.0,0.07784471424997752,0.48714970210474096,,0.0,1,-0.0,0.15050447620240703,0.07479234651158517,0.07160449722176443,00888347,0.48714970210474096,0.0,1.0,1.0,0.0,1.0,1.0,-1.3918562917278314,278.0,1.0,0.0,1.0,0.30000000000000004,0.0,1.0,0.30000000000000004
213420,덕산네오룩스,262,262,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.4776356009786466,0.4776356009786466,7.0,12575,2016-05-31,1,0,,0.0,,0.0,0.08993569915768918,0.4776356009786466,,0.0,1,-0.0,0.11946870184193137,0.07479234651158517,0.07160449722176443,01061558,0.4776356009786466,0.0,1.0,1.0,0.0,1.0,1.0,-1.3646731456532761,277.0,1.0,0.0,1.0,0.30000000000000004,0.0,1.0,0.30000000000000004
000240,한국앤컴퍼니,64992,64992,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.4758273533282564,0.4758273533282564,8.0,23350,2016-05-31,1,0,,0.0,,0.0,0.09223370868696651,0.4758273533282564,,0.0,1,-0.0,-0.09030837004405301,0.07479234651158517,0.07160449722176443,00160047,0.4758273533282564,0.0,1.0,1.0,0.0,1.0,1.0,-1.3595067237950182,276.0,1.0,0.0,1.0,0.30000000000000004,0.0,1.0,0.30000000000000004
023160,태광,2413,2413,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.4635605490993122,0.4635605490993122,9.0,9490,2016-05-31,1,0,,0.0,,0.0,0.10782296329255671,0.4635605490993122,,0.0,1,-0.0,-0.19069767441860463,0.07479234651158517,0.07160449722176443,00153375,0.4635605490993122,0.0,1.0,1.0,0.0,1.0,1.0,-1.3244587117123208,275.0,1.0,0.0,1.0,0.30000000000000004,0.0,1.0,0.30000000000000004
026960,동서,4632,4632,2016,1,2016-05-31,2016-05-31,2016-05-31,2016-07-31,0.1,0.4634179229231022,0.4634179229231022,10.0,33300,2016-05-31,1,0,,0.0,,0.0,0.1080042196110617,0.4634179229231022,,0.0,1,-0.0,0.010852713178294504,0.07479234651158517,0.07160449722176443,00144395,0.4634179229231022,0.0,1.0,1.0,0.0,1.0,1.0,-1.3240512083517206,274.0,1.0,0.0,1.0,0.30000000000000004,0.0,1.0,0.30000000000000004
