ticker,name,action,reason,score,score_rank,industry4,market,industry_name,price,mcap,revenue,op_income,net_income,op_acc2,rev_acc2,debt_log,cfo_to_assets,cfo_isnull,contrib_op,contrib_rev,contrib_debt,contrib_cfo,contrib_missing,score_rebuilt,planned_qty,planned_value,day1_qty,day1_value,day2_qty,day2_value,day3_qty,day3_value,est_slippage_bps
042520,한스바이오메드,BUY,전략 신규 편입 (rank=1),8.249315291967747,1.0,213.0,,,42600,578928507600.0,89779853611.0,-25890557566.0,-32075124367.0,-38.83783634791209,0.06671937796637084,1.553990300915028,0.0025183591620039523,0,-0.11183580944238779,-0.003210298775380849,-0.32913080677240014,-0.08315805581994795,-0.0,-0.5273349708101167,233,9925800,93,3961800,70,2982000,70,2982000,5.0092128143975705
322000,HD현대에너지솔루션,BUY,전략 신규 편입 (rank=2),3.350396249461218,2.0,2612.0,,,122100,911680000000.0,492659873672.0,41222890455.0,41676678809.0,11.569138282747275,0.39301045903645404,0.23872371407604293,0.033410709098804885,0,-0.11179394065151682,0.11884169680427652,0.4390197915798283,-0.03679512511439322,-0.0,0.4092724226181948,80,9768000,32,3907200,24,2930400,24,2930400,5.000454505361297
095610,테스,BUY,전략 신규 편입 (rank=3),0.8514408280291123,3.0,29271.0,,,65300,1306679738600.0,351115732341.0,57838170556.0,56917796576.0,8.066708379108364,-0.17136284428512782,0.21859296976161705,0.16908332367601853,0,-0.11179684982244505,-0.09226700925161214,0.45077668059771603,0.1668209818231864,-0.0,0.4135338033468452,151,9860300,61,3983300,45,2938500,45,2938500,5.003342670704925
000370,한화손해보험,BUY,전략 신규 편입 (rank=4),0.7401464790144461,4.0,65121.0,,,6920,882546197400.0,1027422289000.0,429592532000.0,292332865000.0,-0.4356353251681281,-0.23274415900270928,2.1481147615516587,0.03260947970883183,0,-0.11180391199693729,-0.11522721989547796,-0.6761152618633988,-0.037997602192458506,-0.0,-0.9411439959482725,1444,9992480,578,3999760,433,2996360,433,2996360,5.003126451480689
298380,에이비엘바이오,BUY,전략 신규 편입 (rank=5),0.630745246778098,5.0,211.0,,,188000,8903190104800.0,79349848373.0,-40389935899.0,-37877499346.0,-22.008015571864437,1.8659246162706418,0.5838037860418026,-0.07721624587596501,0,-0.11182183034025696,0.6697979522385127,0.23748386995576698,-0.20282295589303534,-0.0,0.5926370359609874,51,9588000,21,3948000,15,2820000,15,2820000,5.000797907575164
100840,SNT에너지,BUY,전략 신규 편입 (rank=6),0.4082632402213108,6.0,29176.0,,,45050,980269114200.0,606119987434.0,111313927765.0,84373067879.0,3.934856679672202,1.1457911592997267,0.48065433668749946,0.17460869397357323,0,-0.11180028180057865,0.4004258161116933,0.2977258863150792,0.17511340246299312,-0.0,0.761464823089187,220,9911000,88,3964400,66,2973300,66,2973300,5.007969306177455
041920,메디아나,BUY,전략 신규 편입 (rank=7),0.408205269769238,7.0,27112.0,,,21600,479834153400.0,64944817855.0,5950379397.0,5274496431.0,4.40571443774348,0.4112630857650592,0.11487249556336529,0.03748477013146562,0,-0.11179989069904663,0.12566924939777924,0.5113521906228312,-0.030680814945892962,-0.0,0.49454073437567087,461,9957600,185,3996000,138,2980800,138,2980800,5.0097969380814265
003670,포스코퓨처엠,BUY,전략 신규 편입 (rank=8),0.3528762219460445,8.0,282.0,,,190900,17351761280000.0,12434000000.0,32827283494.0,36521891144.0,45.494591676656974,-0.7739596046390989,1.107419157355177,-0.003672113108002748,0,-0.11176576165994351,-0.3176735293741818,-0.06832140541996344,-0.09244865486715982,-0.0,-0.5902093513212486,50,9545000,20,3818000,15,2863500,15,2863500,5.000899521092751
302440,SK바이오사이언스,BUY,전략 신규 편입 (rank=9),0.3488680166220682,9.0,211.0,,,43700,3858604180250.0,651368342533.0,-123501682766.0,-56173210192.0,-10.655564131682699,1.7105495153716566,0.8963754398416763,0.03468066097194015,0,-0.11181240082343503,0.6116785544728147,0.054933727424310776,-0.03488919400801858,-0.0,0.5199106870656719,227,9919900,91,3976700,68,2971600,68,2971600,5.013608743551128
098460,고영,BUY,전략 신규 편입 (rank=10),0.3369397198519973,10.0,29271.0,,,29000,2131730142750.0,232647218656.0,17342338477.0,14756087568.0,5.056814388302362,0.251005614690228,0.20234964702508956,0.04408646575106034,0,-0.11179934988564003,0.06572355892078093,0.4602632122287514,-0.020773055996619265,-0.0,0.393414365267273,343,9947000,137,3973000,103,2987000,103,2987000,5.001177649436221
005930,삼성전자,SELL,전략 탈락,,,264,,,183500,1081724598060000.0,333605938000000.0,43601051000000.0,45206805000000.0,-3.65110639581233,-0.053152178629700675,0.26188050828400256,0.15048299728520784,0,-0.11180658281554513,-0.048049289310485015,0.42549560910248446,0.13890579747100631,-0.0,0.40454553444746066,100,18350000,40,7340000,30,5505000,30,5505000,5.000027812625625
058470,리노공업,SELL,전략 탈락,,,2629,,,113500,1486131075000.0,306092053518.0,141793355438.0,,0.3956900669965999,0.39752814150543936,0.10337025750344368,0.22752367471415963,0,0.004024230506131091,0.15608352910247764,0.5955156735584444,0.20849807717518432,-0.0,0.9641215103422374,50,5675000,20,2270000,15,1702500,15,1702500,5.0004204923912665
214150,클래시스,SELL,전략 탈락,,,271,,,53900,4153058780600.0,266523028074.0,131109869182.0,,0.1614625935069689,0.17317866263449444,0.8164542845270424,0.17127330854494355,0,-0.04599472225949879,0.04450293533085416,0.1196743047515747,0.1414856523844916,-0.0,0.25966817020742167,600,32340000,240,12936000,180,9702000,180,9702000,5.006382633240674
