ticker,name_final,action,reason,shares,price,adv20_value,current_value,target_value,trade_value,order_side,max_day_value,day1_qty,day1_order_value,day2_qty,day2_order_value,day3_qty,day3_order_value,planned_total_qty,planned_total_value,unplanned_value,est_slippage_bps,score,score_rank,industry_code,industry_name,industry4
218410,RFHIC,HOLD,기존 보유 상위 점수 유지 (rank=1),37.0,82400,68858730195.0,3048800.0,0.0,-3048800.0,SELL,10328809529.25,25,2060000.0,11,906400.0,0,0.0,36,2966400.0,82400.0,5.000430795048296,3.688174929908726,1.0,032604,통신 및 방송 장비 제조업,032604
060280,큐렉소,HOLD,기존 보유 상위 점수 유지 (rank=2),174.0,17460,20845800862.0,3038040.0,0.0,-3038040.0,SELL,3126870129.2999997,121,2112660.0,52,907920.0,0,0.0,173,3020580.0,17460.0,5.0014490112517125,3.6266150852589103,2.0,074708,기타 상품 전문 소매업,074708
041920,메디아나,HOLD,기존 보유 상위 점수 유지 (rank=3),151.0,19900,6984348028.5,3004900.0,0.0,-3004900.0,SELL,1047652204.275,105,2089500.0,45,895500.0,0,0.0,150,2985000.0,19900.0,5.004273842007614,3.398982213481918,3.0,032701,의료용 기기 제조업,032701
425420,티에프이,HOLD,전략 유지 (rank=5),46.0,69000,18201089087.5,3174000.0,0.0,-3174000.0,SELL,2730163363.125,32,2208000.0,13,897000.0,0,0.0,45,3105000.0,69000.0,5.00170594187253,3.287077917221918,5.0,032602,전자부품 제조업,032602
171090,선익시스템,HOLD,전략 유지 (rank=6),33.0,92800,22044608195.0,3062400.0,0.0,-3062400.0,SELL,3306691229.25,23,2134400.0,9,835200.0,0,0.0,32,2969600.0,92800.0,5.001347086767763,3.187160220105933,6.0,032902,특수 목적용 기계 제조업,032902
042000,카페24,HOLD,전략 유지 (rank=9),106.0,27800,3520564037.5,2946800.0,0.0,-2946800.0,SELL,528084605.625,74,2057200.0,31,861800.0,0,0.0,105,2919000.0,27800.0,5.008291285058041,2.788513765251271,9.0,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",106301
131290,티에스이,HOLD,전략 유지 (rank=10),27.0,110300,12066630370.0,2978100.0,0.0,-2978100.0,SELL,1809994555.5,18,1985400.0,8,882400.0,0,0.0,26,2867800.0,110300.0,5.002376636983205,2.728178595844088,10.0,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",032702
214150,클래시스,SELL,전략 탈락 (universe_rank=68),600.0,54000,17078616882.5,32400000.0,0.0,-32400000.0,SELL,2561792532.375,420,22680000.0,180,9720000.0,0,0.0,600,32400000.0,0.0,5.018971091290887,0.233922258674435,68.0,032701,의료용 기기 제조업,032701
005930,삼성전자,SELL,전략 탈락 (universe_rank=144),100.0,179700,6439185386235.0,17970000.0,0.0,-17970000.0,SELL,965877807935.25,70,12579000.0,30,5391000.0,0,0.0,100,17970000.0,0.0,5.000027907256776,-1.934157553584053,144.0,032604,통신 및 방송 장비 제조업,032604
098460,고영,BUY,전략 신규 편입 (rank=4),0.0,27300,71206829067.5,0.0,0.0,0.0,HOLD,10681024360.125,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5.0,3.287593834218937,4.0,032902,특수 목적용 기계 제조업,032902
100840,SNT에너지,BUY,전략 신규 편입 (rank=7),0.0,48200,23531921710.0,0.0,0.0,0.0,HOLD,3529788256.5,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5.0,2.983210090323704,7.0,032901,일반 목적용 기계 제조업,032901
353200,대덕전자,BUY,전략 신규 편입 (rank=8),0.0,85400,113008872665.0,0.0,0.0,0.0,HOLD,16951330899.75,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5.0,2.9519468791680747,8.0,032602,전자부품 제조업,032602
