ticker,industry4,CFO_warn,CFO_isnull,quarter,year,corp_code,name,rebalance_month,score_total,score,score_rank,OpIncome_acc2__raw,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,OpIncome_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,Quality_CFO_to_Assets__raw,Quality_CFO_to_Assets__z,Quality_CFO_to_Assets__rank,Quality_CFO_to_Assets__mult,Quality_CFO_to_Assets__contrib,CAPEX_ttm_yoy__raw,CAPEX_ttm_yoy__z,CAPEX_ttm_yoy__rank,CAPEX_ttm_yoy__mult,CAPEX_ttm_yoy__contrib,CFO_isnull__raw,CFO_isnull__z,CFO_isnull__rank,CFO_isnull__mult,CFO_isnull__contrib
042520,213,0,0,4,2025,00349060,한스바이오메드,2026-03-31,8.021742745418116,8.021742745418116,1.0,914.6440940967984,8.732952231581828,1.0,1.0,8.732952231581828,1.3164907840037212,0.8072726950587578,15.0,1.0,-0.6458181560470062,0.009538962858548805,-0.26134392577346843,57.0,1.0,-0.06533598144336711,-0.3545735413837864,0.0003689911555968015,66.0,1.0,-5.534867333952022e-05,0,0.0,1.0,1.0,-0.0
322000,2612,0,0,4,2025,01199550,HD현대에너지솔루션,2026-03-31,3.6000019318991305,3.6000019318991305,2.0,331.35215204500884,3.0664811086646195,2.0,1.0,3.0664811086646195,0.23872371407604293,-0.952837382673289,78.0,1.0,0.7622699061386312,-0.011711383786811906,-0.9595370256139096,79.0,1.0,-0.2398842564034774,-0.7767304559426826,-0.07423448999571565,85.0,1.0,0.011135173499357347,0,0.0,1.0,1.0,-0.0
095610,29271,0,0,4,2025,00524421,테스,2026-03-31,1.522795632518174,1.522795632518174,3.0,67.84288655189508,0.5065835069842635,3.0,1.0,0.5065835069842635,0.21859296976161705,-0.9857130632620881,81.0,1.0,0.7885704506096705,0.03467362072093153,0.5644705881839829,20.0,1.0,0.14111764704599572,-3.620737702929877,-0.5768268525216276,87.0,1.0,0.08652402787824413,0,0.0,1.0,1.0,-0.0
042700,29271,0,0,4,2025,00161383,한미반도체,2026-03-31,1.3518578338326148,1.3518578338326148,4.0,-3.7527024678870378,-0.1889418525497155,86.0,1.0,-0.1889418525497155,0.1639727796154585,-1.0749137354725922,85.0,1.0,0.8599309883780738,0.1086406956022673,2.994703946697427,2.0,1.0,0.7486759866743568,2.2013348874647187,0.4520485911340021,6.0,1.0,-0.06780728867010032,0,0.0,1.0,1.0,-0.0
100790,649,0,0,4,2025,00340096,미래에셋벤처투자,2026-03-31,1.347575463743478,1.347575463743478,5.0,0.7494170636406072,-0.14520538290539825,18.0,1.0,-0.14520538290539825,1.0674187146765506,0.4005110936547125,23.0,1.0,-0.32040887492377,0.07407350669279794,1.8589778721892964,4.0,1.0,0.4647444680473241,-51.22609184228598,-8.989635023502148,89.0,1.0,1.3484452535253222,0,0.0,1.0,1.0,-0.0
030190,63991,0,0,4,2025,00158325,NICE평가정보,2026-03-31,0.9453549308410923,0.9453549308410923,6.0,-0.09245799219666773,-0.1533838958404915,55.0,1.0,-0.1533838958404915,0.31985053546651265,-0.8203485176040349,70.0,1.0,0.656278814083228,0.0707949065363092,1.7512574643955734,5.0,1.0,0.43781436609889335,-0.5319162593445601,-0.03097097666308332,72.0,1.0,0.004645646499462498,0,0.0,1.0,1.0,-0.0
041920,27112,0,0,4,2025,00273439,메디아나,2026-03-31,0.8319555906663602,0.8319555906663602,7.0,1.9089062941197898,-0.13394136266412354,13.0,1.0,-0.13394136266412354,0.08084400580049247,-1.2106720051616522,88.0,1.0,0.9685376041293218,0.01623486216573095,-0.04134607013747122,48.0,1.0,-0.010336517534367805,-0.6469843092274332,-0.05130577823686534,81.0,1.0,0.007695866735529801,0,0.0,1.0,1.0,-0.0
005930,264,0,0,4,2025,00126380,삼성전자,2026-03-31,0.806304317543929,0.806304317543929,8.0,-4.360398964655245,-0.19484540513150184,88.0,1.0,-0.19484540513150184,0.26188050828400256,-0.915019835644197,75.0,1.0,0.7320158685153576,0.05079822347293977,1.0942542461638944,9.0,1.0,0.2735635615409736,-0.18955302253227924,0.029531382539335845,57.0,1.0,-0.004429707380900377,0,0.0,1.0,1.0,-0.0
026960,4632,0,0,4,2025,00144395,동서,2026-03-31,0.8056514275935347,0.8056514275935347,9.0,-0.10539702834330966,-0.15350959391618482,56.0,1.0,-0.15350959391618482,0.03455894119852598,-1.2862605167496586,89.0,1.0,1.0290084133997268,0.011373651513423127,-0.20106411102190777,55.0,1.0,-0.05026602775547694,0.38203573506600774,0.13054242756353557,26.0,1.0,-0.019581364134530335,0,0.0,1.0,1.0,-0.0
281820,272,0,0,4,2025,01261893,케이씨텍,2026-03-31,0.8050344804892003,0.8050344804892003,10.0,,-0.15238683409032583,42.0,1.0,-0.15238683409032583,0.12439923925061419,-1.1395416028023786,86.0,1.0,0.9116332822419029,0.024123312499284576,0.21783377681921734,31.0,1.0,0.054458444204804335,,0.057802745781207185,44.0,1.0,-0.008670411867181078,0,0.0,1.0,1.0,-0.0
