action,ticker,name,target_weight,weight,delta_weight,shares,score,group_value,industry4,current_price,price_date
BUY,042700,한미반도체,0.1,0.0,0.1,,1.9126152265476275,21.0,21.0,123600.0,2025-11-28
BUY,253590,네오셈,0.1,0.0,0.1,,1.6677712689305677,21.0,21.0,10260.0,2025-11-28
BUY,440110,파두,0.1,0.0,0.1,,1.2168150902891817,31.0,31.0,27650.0,2025-11-28
BUY,082920,비츠로셀,0.1,0.0,0.1,,1.1795440240371915,50.0,50.0,15140.0,2025-11-28
BUY,322000,HD현대에너지솔루션,0.1,0.0,0.1,,1.1519519173718649,31.0,31.0,54500.0,2025-11-28
BUY,030190,NICE평가정보,0.1,0.0,0.1,,1.1404906368380574,43.0,43.0,17200.0,2025-11-28
BUY,271560,오리온,0.1,0.0,0.1,,1.1311408655259148,32.0,32.0,105500.0,2025-11-28
BUY,006650,대한유화,0.1,0.0,0.1,,1.1081807883523729,51.0,51.0,142000.0,2025-11-28
BUY,192080,더블유게임즈,0.1,0.0,0.1,,1.1045192593703133,11.0,11.0,52700.0,2025-11-28
BUY,105840,우진,0.1,0.0,0.1,,1.10404007144102,53.0,53.0,15900.0,2025-11-28
SELL,005930,삼성전자,0.0,0.0,0.0,100.0,,,,,
SELL,058470,리노공업,0.0,0.0,0.0,125.0,,,,,
SELL,214150,클래시스,0.0,0.0,0.0,600.0,,,,,
