ticker,name,target_weight,score,group_value,industry4,current_price,price_date
042700,한미반도체,0.1,1.9126152265476275,21,21,123600.0,2025-11-28
253590,네오셈,0.1,1.6677712689305677,21,21,10260.0,2025-11-28
440110,파두,0.1,1.2168150902891817,31,31,27650.0,2025-11-28
082920,비츠로셀,0.1,1.1795440240371915,50,50,15140.0,2025-11-28
322000,HD현대에너지솔루션,0.1,1.1519519173718649,31,31,54500.0,2025-11-28
030190,NICE평가정보,0.1,1.1404906368380574,43,43,17200.0,2025-11-28
271560,오리온,0.1,1.1311408655259148,32,32,105500.0,2025-11-28
006650,대한유화,0.1,1.1081807883523729,51,51,142000.0,2025-11-28
192080,더블유게임즈,0.1,1.1045192593703133,11,11,52700.0,2025-11-28
105840,우진,0.1,1.10404007144102,53,53,15900.0,2025-11-28
