ticker,name_final,shares,current_shares,current_weight,target_shares,target_value,score,score_rank,industry4,cohort_status,score_availability_reason,filter_status_diag,passed_filters_diag,selected_topk_diag,in_target_topk_diag,current_price_diag,price_date_diag,current_value_diag,is_current,is_target,action,reason
005690,파미셀,,,,,,4.31176403840372,1.0,211.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=1)
060280,큐렉소,,,,,,3.9747763712057536,2.0,47812.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=2)
218410,RFHIC,,,,,,3.937611326473121,3.0,264.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=3)
450080,에코프로머티,,,,,,3.911078188275336,4.0,28202.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=4)
053610,프로텍,,,,,,3.840423969949057,5.0,29271.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=5)
100840,SNT에너지,,,,,,3.838365729207254,6.0,29176.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=6)
041920,메디아나,,,,,,3.83043356382806,7.0,27112.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=7)
171090,선익시스템,,,,,,3.789427475113903,8.0,292.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=8)
361610,SK아이이테크놀로지,,,,,,3.729797503857764,9.0,282.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=9)
003160,디아이,,,,,,3.719128616157216,10.0,27212.0,,,,,,,,,,0,1,BUY,전략 신규 편입 (rank=10)
214150,클래시스,600.0,600.0,,,,,,,not_in_target_cohort,no_feature_history,not_in_target_cohort,False,0.0,0.0,,,,1,0,HOLD_REVIEW,평가 보류 유지 (no_feature_history)
058470,리노공업,50.0,50.0,,,,1.117139784841662,87.0,2629.0,in_target_cohort,scored_in_target_cohort,passed,True,0.0,0.0,,,,1,0,SELL,전략 탈락 (universe_rank=87)
005930,삼성전자,100.0,100.0,,,,-2.6988478840272183,360.0,264.0,in_target_cohort,scored_in_target_cohort,passed,True,0.0,0.0,,,,1,0,SELL,전략 탈락 (universe_rank=360)
