ticker,name_final,action,reason,shares,price,current_value,target_value,trade_value,order_side,order_qty,order_value,score,score_rank,industry4
042520,한스바이오메드,BUY,전략 신규 편입 (rank=1),0.0,42600,0.0,1000000.0,1000000.0,BUY,23,979800,8.249315291967747,1.0,213.0
322000,HD현대에너지솔루션,BUY,전략 신규 편입 (rank=2),0.0,122100,0.0,1000000.0,1000000.0,BUY,8,976800,3.350396249461218,2.0,2612.0
095610,테스,BUY,전략 신규 편입 (rank=3),0.0,65300,0.0,1000000.0,1000000.0,BUY,15,979500,0.8514408280291123,3.0,29271.0
000370,한화손해보험,BUY,전략 신규 편입 (rank=4),0.0,6920,0.0,1000000.0,1000000.0,BUY,144,996480,0.7401464790144461,4.0,65121.0
298380,에이비엘바이오,BUY,전략 신규 편입 (rank=5),0.0,188000,0.0,1000000.0,1000000.0,BUY,5,940000,0.630745246778098,5.0,211.0
100840,SNT에너지,BUY,전략 신규 편입 (rank=6),0.0,45050,0.0,1000000.0,1000000.0,BUY,22,991100,0.4082632402213108,6.0,29176.0
041920,메디아나,BUY,전략 신규 편입 (rank=7),0.0,21600,0.0,1000000.0,1000000.0,BUY,46,993600,0.408205269769238,7.0,27112.0
003670,포스코퓨처엠,BUY,전략 신규 편입 (rank=8),0.0,190900,0.0,1000000.0,1000000.0,BUY,5,954500,0.3528762219460445,8.0,282.0
302440,SK바이오사이언스,BUY,전략 신규 편입 (rank=9),0.0,43700,0.0,1000000.0,1000000.0,BUY,22,961400,0.3488680166220682,9.0,211.0
098460,고영,BUY,전략 신규 편입 (rank=10),0.0,29000,0.0,1000000.0,1000000.0,BUY,34,986000,0.3369397198519973,10.0,29271.0
005930,삼성전자,SELL,전략 탈락,100.0,183500,18350000.0,0.0,-18350000.0,SELL,100,18350000,,,
058470,리노공업,SELL,전략 탈락,50.0,113500,5675000.0,0.0,-5675000.0,SELL,50,5675000,,,
214150,클래시스,SELL,전략 탈락,600.0,53900,32340000.0,0.0,-32340000.0,SELL,600,32340000,,,
