file,strategy,k,v,tcost_bps,gross_nav,net_nav,cagr_gross,cagr_net,sharpe_net,avg_turnover
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=13020.csv,D_quality_filter_debt_profitaccel,10,13020,20.0,11.27209277904852,11.135755009095451,0.2690415972596058,0.2675235378019165,1.0792477642171816,0.5166666666666666
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=4.csv,D_quality_filter_debt_profitaccel,10,4,30.0,7.832684154906793,7.358398901578031,0.224406521810067,0.2169069640429004,0.8539847955357553,0.7033333333333333
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=5.csv,D_quality_filter_debt_profitaccel,10,5,30.0,7.832684154906793,7.358398901578031,0.224406521810067,0.2169069640429004,0.8539847955357553,0.7033333333333333
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=6.csv,D_quality_filter_debt_profitaccel,10,6,30.0,7.832684154906793,7.358398901578031,0.224406521810067,0.2169069640429004,0.8539847955357553,0.7033333333333333
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=7.csv,D_quality_filter_debt_profitaccel,10,7,30.0,7.832684154906793,7.358398901578031,0.224406521810067,0.2169069640429004,0.8539847955357553,0.7033333333333333
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=8.csv,D_quality_filter_debt_profitaccel,10,8,30.0,7.832684154906793,7.358398901578031,0.224406521810067,0.2169069640429004,0.8539847955357553,0.7033333333333333
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=9.csv,D_quality_filter_debt_profitaccel,10,9,30.0,11.387999553766983,10.463490646937208,0.2703192026143426,0.2597839124647931,0.954529657065264,0.7150000000000001
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=10.csv,D_quality_filter_debt_profitaccel,10,10,30.0,12.914427150872438,11.869735536084193,0.286133587481953,0.2755066450690571,1.0087969701655093,0.7150000000000001
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=11.csv,D_quality_filter_debt_profitaccel,10,11,30.0,12.001773067986155,11.781834069542068,0.276895293792222,0.2745744355394501,1.0839218891892486,0.525
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=12.csv,D_quality_filter_debt_profitaccel,10,12,30.0,12.001773067986155,11.781834069542068,0.276895293792222,0.2745744355394501,1.0839218891892486,0.525
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=13.csv,D_quality_filter_debt_profitaccel,10,13,30.0,13.874302918857795,12.766175923770618,0.2952352040881008,0.2846738027689364,1.033155685793797,0.7075000000000001
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=13030.csv,D_quality_filter_debt_profitaccel,10,13030,30.0,11.27209277904852,11.06813944798412,0.2690415972596058,0.2667644426622022,1.0768194969605644,0.5166666666666666
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=13101.csv,D_quality_filter_debt_profitaccel,10,13101,30.0,11.27209277904852,11.06813944798412,0.2690415972596058,0.2667644426622022,1.0768194969605644,0.5166666666666666
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=13050.csv,D_quality_filter_debt_profitaccel,10,13050,50.0,11.27209277904852,10.934006141834852,0.2690415972596058,0.2652461207767109,1.071943352261437,0.5166666666666666
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel__v=13070.csv,D_quality_filter_debt_profitaccel,10,13070,70.0,11.27209277904852,10.801324901385296,0.2690415972596058,0.2637276223648168,1.0670413490634132,0.5166666666666666
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel_liq__v=14010.csv,D_quality_filter_debt_profitaccel_liq,10,14010,30.0,11.834741310677448,11.614258685307624,0.2751362737051277,0.2727797639165237,1.05363217445445,0.5333333333333333
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel_liq__v=14101.csv,D_quality_filter_debt_profitaccel_liq,10,14101,30.0,11.834741310677448,11.614258685307624,0.2751362737051277,0.2727797639165237,1.05363217445445,0.5333333333333333
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel_liq__v=20501.csv,D_quality_filter_debt_profitaccel_liq,10,20501,30.0,8.61991495643853,7.936132436277257,0.2359949225131445,0.2259877251673292,0.8625265044354168,0.6900000000000001
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel_v14__v=1014.csv,D_quality_filter_debt_profitaccel_v14,10,1014,30.0,12.676351147274442,12.365261077802405,0.2837818719352498,0.2806481658629918,1.027223342429302,0.0663934426229508
report__asof=2026-03-13__metric=revenue_op__k=10__strat=D_quality_filter_debt_profitaccel_v14a__v=10141.csv,D_quality_filter_debt_profitaccel_v14a,10,10141,30.0,8.73098590713072,8.517391518463581,0.2375524150603745,0.23454114367603,0.8588329929661025,0.6749999999999999
