industry4,industry_name,source,n,name_candidates,has_conflict,asof
104,동·식물성 유지 및 낙농제품 제조업,KIND+local_code_join,1,1,False,2025-11-16
108,기타 식품 제조업,KIND+local_code_join,5,1,False,2025-11-16
192,석유 정제품 제조업,KIND+local_code_join,1,1,False,2025-11-16
201,기초 화학물질 제조업,KIND+local_code_join,4,1,False,2025-11-16
204,기타 화학제품 제조업,KIND+local_code_join,7,1,False,2025-11-16
205,화학섬유 제조업,KIND+local_code_join,2,1,False,2025-11-16
211,기초 의약물질 제조업,KIND+local_code_join,8,1,False,2025-11-16
212,의약품 제조업,KIND+local_code_join,13,1,False,2025-11-16
213,의료용품 및 기타 의약 관련제품 제조업,KIND+local_code_join,2,1,False,2025-11-16
221,고무제품 제조업,KIND+local_code_join,2,1,False,2025-11-16
239,기타 비금속 광물제품 제조업,KIND+local_code_join,1,1,False,2025-11-16
242,1차 비철금속 제조업,KIND+local_code_join,1,1,False,2025-11-16
261,반도체 제조업,KIND+local_code_join,1,1,False,2025-11-16
262,전자부품 제조업,KIND+local_code_join,2,1,False,2025-11-16
264,통신 및 방송 장비 제조업,KIND+local_code_join,2,1,False,2025-11-16
271,의료용 기기 제조업,KIND+local_code_join,1,1,False,2025-11-16
281,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",KIND+local_code_join,2,1,False,2025-11-16
282,일차전지 및 이차전지 제조업,KIND+local_code_join,3,1,False,2025-11-16
291,일반 목적용 기계 제조업,KIND+local_code_join,1,1,False,2025-11-16
292,특수 목적용 기계 제조업,KIND+local_code_join,5,1,False,2025-11-16
301,자동차용 엔진 및 자동차 제조업,KIND+local_code_join,1,1,False,2025-11-16
303,자동차 신품 부품 제조업,KIND+local_code_join,5,1,False,2025-11-16
351,전기업,KIND+local_code_join,1,1,False,2025-11-16
411,건물 건설업,KIND+local_code_join,1,1,False,2025-11-16
412,토목 건설업,KIND+local_code_join,1,1,False,2025-11-16
423,전기 및 통신 공사업,KIND+local_code_join,1,1,False,2025-11-16
461,상품 중개업,KIND+local_code_join,1,1,False,2025-11-16
465,기계장비 및 관련 물품 도매업,KIND+local_code_join,1,1,False,2025-11-16
467,기타 전문 도매업,KIND+local_code_join,2,1,False,2025-11-16
493,도로 화물 운송업,KIND+local_code_join,1,2,True,2025-11-16
511,항공 여객 운송업,KIND+local_code_join,1,1,False,2025-11-16
551,일반 및 생활 숙박시설 운영업,KIND+local_code_join,2,1,False,2025-11-16
582,소프트웨어 개발 및 공급업,KIND+local_code_join,5,1,False,2025-11-16
592,오디오물 출판 및 원판 녹음업,KIND+local_code_join,1,1,False,2025-11-16
602,텔레비전 방송업,KIND+local_code_join,1,1,False,2025-11-16
612,전기 통신업,KIND+local_code_join,1,1,False,2025-11-16
631,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",KIND+local_code_join,1,1,False,2025-11-16
649,기타 금융업,KIND+local_code_join,5,1,False,2025-11-16
661,금융 지원 서비스업,KIND+local_code_join,1,1,False,2025-11-16
701,자연과학 및 공학 연구개발업,KIND+local_code_join,1,1,False,2025-11-16
715,회사 본부 및 경영 컨설팅 서비스업,KIND+local_code_join,2,1,False,2025-11-16
721,"건축기술, 엔지니어링 및 관련 기술 서비스업",KIND+local_code_join,1,1,False,2025-11-16
969,그외 기타 개인 서비스업,KIND+local_code_join,1,1,False,2025-11-16
2049,기타 화학제품 제조업,KIND+local_code_join,3,1,False,2025-11-16
2050,화학섬유 제조업,KIND+local_code_join,1,1,False,2025-11-16
2221,플라스틱제품 제조업,KIND+local_code_join,1,1,False,2025-11-16
2312,유리 및 유리제품 제조업,KIND+local_code_join,1,1,False,2025-11-16
2332,"시멘트, 석회, 플라스터 및 그 제품 제조업",KIND+local_code_join,1,1,False,2025-11-16
2411,1차 철강 제조업,KIND+local_code_join,3,1,False,2025-11-16
2413,1차 철강 제조업,KIND+local_code_join,1,1,False,2025-11-16
2512,"구조용 금속제품, 탱크 및 증기발생기 제조업",KIND+local_code_join,1,1,False,2025-11-16
2611,반도체 제조업,KIND+local_code_join,4,1,False,2025-11-16
2612,반도체 제조업,KIND+local_code_join,3,1,False,2025-11-16
2621,전자부품 제조업,KIND+local_code_join,1,1,False,2025-11-16
