ticker,industry4,industry_name,name,market,asof
000070,64992,기타 금융업,,,2025-11-16
000080,11122,알코올음료 제조업,,,2025-11-16
000100,212,의약품 제조업,,,2025-11-16
000120,493,도로 화물 운송업,,,2025-11-16
000150,64992,기타 금융업,,,2025-11-16
000210,20111,기초 화학물질 제조업,,,2025-11-16
000240,64992,기타 금융업,,,2025-11-16
000250,212,의약품 제조업,,,2025-11-16
000270,30121,자동차용 엔진 및 자동차 제조업,,,2025-11-16
000370,65121,보험업,,,2025-11-16
000400,65121,보험업,,,2025-11-16
000500,28302,절연선 및 케이블 제조업,,,2025-11-16
000660,2612,반도체 제조업,,,2025-11-16
000720,41221,토목 건설업,,,2025-11-16
000810,65121,보험업,,,2025-11-16
000880,20494,기타 화학제품 제조업,,,2025-11-16
000990,2611,반도체 제조업,,,2025-11-16
001040,64992,기타 금융업,,,2025-11-16
001060,212,의약품 제조업,,,2025-11-16
001120,4610,상품 중개업,,,2025-11-16
001270,66121,금융 지원 서비스업,,,2025-11-16
001430,2411,1차 철강 제조업,,,2025-11-16
001440,28302,절연선 및 케이블 제조업,,,2025-11-16
001450,65121,보험업,,,2025-11-16
001500,66121,금융 지원 서비스업,,,2025-11-16
001510,66121,금융 지원 서비스업,,,2025-11-16
001680,108,기타 식품 제조업,,,2025-11-16
001720,66121,금융 지원 서비스업,,,2025-11-16
001740,467,기타 전문 도매업,,,2025-11-16
001800,649,기타 금융업,,,2025-11-16
002020,64992,기타 금융업,,,2025-11-16
002350,221,고무제품 제조업,,,2025-11-16
002380,20411,기타 화학제품 제조업,,,2025-11-16
002790,20423,기타 화학제품 제조업,,,2025-11-16
003030,64992,기타 금융업,,,2025-11-16
003090,212,의약품 제조업,,,2025-11-16
003160,27212,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",,,2025-11-16
003230,108,기타 식품 제조업,,,2025-11-16
003240,20501,화학섬유 제조업,,,2025-11-16
003470,66121,금융 지원 서비스업,,,2025-11-16
003490,511,항공 여객 운송업,,,2025-11-16
003530,66121,금융 지원 서비스업,,,2025-11-16
003540,66121,금융 지원 서비스업,,,2025-11-16
003550,64992,기타 금융업,,,2025-11-16
003570,303,자동차 신품 부품 제조업,,,2025-11-16
003620,301,자동차용 엔진 및 자동차 제조업,,,2025-11-16
003670,282,일차전지 및 이차전지 제조업,,,2025-11-16
003690,65200,재 보험업,,,2025-11-16
003850,212,의약품 제조업,,,2025-11-16
004000,20119,기초 화학물질 제조업,,,2025-11-16
004020,2411,1차 철강 제조업,,,2025-11-16
004170,47111,종합 소매업,,,2025-11-16
004370,108,기타 식품 제조업,,,2025-11-16
004690,35200,연료용 가스 제조 및 배관공급업,,,2025-11-16
004800,649,기타 금융업,,,2025-11-16
004990,64992,기타 금융업,,,2025-11-16
005070,204,기타 화학제품 제조업,,,2025-11-16
005090,351,전기업,,,2025-11-16
005180,104,동·식물성 유지 및 낙농제품 제조업,,,2025-11-16
005290,20129,기초 화학물질 제조업,,,2025-11-16
005300,11209,비알코올음료 및 얼음 제조업,,,2025-11-16
005380,30121,자동차용 엔진 및 자동차 제조업,,,2025-11-16
005420,2049,기타 화학제품 제조업,,,2025-11-16
005440,64992,기타 금융업,,,2025-11-16
005490,2411,1차 철강 제조업,,,2025-11-16
005690,211,기초 의약물질 제조업,,,2025-11-16
005830,65121,보험업,,,2025-11-16
005850,303,자동차 신품 부품 제조업,,,2025-11-16
005880,50112,해상 운송업,,,2025-11-16
