"source","destination","reason"
"C:\Users\chanw\ai_inv_adv\data\features\features_live\features_live__asof=2025-11-16__metric=revenue_op__v=311.meta.json","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\features\features_live\features_live__asof=2025-11-16__metric=revenue_op__v=311.parquet","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\interim\fundamentals_quarterly\fundamentals_quarterly__asof=2025-11-16__src=dart_merged__fs=CFS__y=2015-2025__v=2.parquet","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\interim\marketdata\krx_marketdata__asof=2025-11-16__src=pykrx__lookback=365d__v=1.parquet","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\live\execution\execution_plan__total=100000000__v=11.csv","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\live\execution\execution_plan__total=100000000__v=2.csv","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\live\execution\execution_plan__total=100000000__v=3.csv","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\live\execution\execution_plan__total=100000000__v=6.csv","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\live\execution\execution_plan__total=100000000__v=7.csv","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\live\reports\rebalance_report__asof=2025-11-16__target=2025-11-30__metric=revenue_op__strat=D_quality_filter_debt_profitaccel_liq__v=12.html","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\live\reports\rebalance_report__asof=2025-11-16__target=2025-11-30__metric=revenue_op__strat=D_quality_filter_debt_profitaccel_liq__v=12.md","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\live\scores\latest_scores__asof=2025-11-16__metric=revenue_op__strat=D_quality_filter_debt_profitaccel_liq__featv=311__target=2025-11-30__coverage.json","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\live\scores\latest_scores__asof=2025-11-16__metric=revenue_op__strat=D_quality_filter_debt_profitaccel_liq__featv=311__target=2025-11-30__current_holdings_scored.csv","-","keep_rule_matched"
