23:27:28 [INFO] universe=data\processed\universe__asof=2026-02-18__metric=revenue_op__v=1.parquet rows=474
23:27:28 [INFO] corp_codes rows=3913
23:27:28 [CHECK] corp_code missing ratio=0.000
23:27:28 [INFO] year range 2016..2025
23:27:28 [1/474] 000070 None corp=00126937
23:27:35 [2/474] 000080 None corp=00150244
23:27:41 [3/474] 000100 None corp=00145109
23:27:47 [4/474] 000120 None corp=00113410
23:27:54 [5/474] 000150 None corp=00117212
23:28:00 [6/474] 000210 None corp=00109693
23:28:07 [7/474] 000240 None corp=00160047
23:28:13 [8/474] 000250 None corp=00128546
23:28:19 [9/474] 000270 None corp=00106641
23:28:26 [10/474] 000370 None corp=00135917
23:28:32 [11/474] 000400 None corp=00113562
23:28:37 [12/474] 000500 None corp=00104768
23:28:44 [13/474] 000660 None corp=00164779
23:28:50 [14/474] 000720 None corp=00164478
23:28:56 [15/474] 000810 None corp=00139214
23:29:02 [16/474] 000880 None corp=00160588
23:29:09 [17/474] 000990 None corp=00160843
23:29:15 [18/474] 001040 None corp=00148540
23:29:21 [19/474] 001060 None corp=00149947
23:29:27 [20/474] 001120 None corp=00120076
23:29:34 [21/474] 001270 None corp=00123772
23:29:40 [22/474] 001430 None corp=00106669
23:29:47 [23/474] 001440 None corp=00113207
23:29:53 [24/474] 001450 None corp=00164973
23:29:59 [25/474] 001500 None corp=00137997
23:30:05 [26/474] 001510 None corp=00131850
23:30:11 [27/474] 001680 None corp=00121941
23:30:17 [28/474] 001720 None corp=00136721
23:30:23 [29/474] 001740 None corp=00131780
23:30:29 [30/474] 001800 None corp=00117577
23:30:36 [31/474] 002020 None corp=00152862
23:30:42 [32/474] 002350 None corp=00173874
23:30:49 [33/474] 002380 None corp=00105271
23:30:55 [34/474] 002790 None corp=00154462
23:31:02 [35/474] 003030 None corp=00124197
23:31:09 [36/474] 003090 None corp=00111810
23:31:17 [37/474] 003160 None corp=00118275
23:31:25 [38/474] 003230 None corp=00126955
23:31:32 [39/474] 003240 None corp=00153393
23:31:39 [40/474] 003380 None corp=00148364
23:31:46 [41/474] 003470 None corp=00117601
23:31:53 [42/474] 003490 None corp=00113526
23:32:00 [43/474] 003530 None corp=00148610
23:32:06 [44/474] 003540 None corp=00110893
23:32:12 [45/474] 003550 None corp=00120021
23:32:18 [46/474] 003570 None corp=00134477
23:32:25 [47/474] 003620 None corp=00138242
23:32:31 [48/474] 003670 None corp=00155276
23:32:37 [49/474] 003690 None corp=00113191
23:32:43 [50/474] 003850 None corp=00123143
23:32:49 [51/474] 004000 None corp=00157681
23:32:55 [52/474] 004020 None corp=00145880
23:33:02 [53/474] 004170 None corp=00136378
23:33:08 [54/474] 004370 None corp=00108241
23:33:15 [55/474] 004690 None corp=00128555
23:33:21 [56/474] 004800 None corp=00117188
23:33:27 [57/474] 004990 None corp=00120562
23:33:34 [58/474] 005070 None corp=00129989
