11:18:15 [INFO] universe=data\processed\universe__asof=2026-02-18__metric=revenue_op__v=1.csv rows=474
11:18:16 [INFO] corp_codes rows=3913
11:18:16 [CHECK] corp_code missing ratio=0.000
11:18:16 [INFO] year range 2016..2025
11:18:16 [1/474] 000070 None corp=00126937
11:18:29 [2/474] 000080 None corp=00150244
11:18:42 [3/474] 000100 None corp=00145109
11:18:55 [4/474] 000120 None corp=00113410
11:19:08 [5/474] 000150 None corp=00117212
11:19:21 [6/474] 000210 None corp=00109693
11:19:34 [7/474] 000240 None corp=00160047
11:19:47 [8/474] 000250 None corp=00128546
11:20:00 [9/474] 000270 None corp=00106641
11:20:13 [10/474] 000370 None corp=00135917
11:20:25 [11/474] 000400 None corp=00113562
11:20:37 [12/474] 000500 None corp=00104768
11:20:50 [13/474] 000660 None corp=00164779
11:21:03 [14/474] 000720 None corp=00164478
11:21:16 [15/474] 000810 None corp=00139214
11:21:28 [16/474] 000880 None corp=00160588
11:21:41 [17/474] 000990 None corp=00160843
11:21:54 [18/474] 001040 None corp=00148540
11:22:07 [19/474] 001060 None corp=00149947
11:22:20 [20/474] 001120 None corp=00120076
11:22:33 [21/474] 001270 None corp=00123772
11:22:45 [22/474] 001430 None corp=00106669
11:22:58 [23/474] 001440 None corp=00113207
11:23:11 [24/474] 001450 None corp=00164973
11:23:23 [25/474] 001500 None corp=00137997
11:23:35 [26/474] 001510 None corp=00131850
11:23:47 [27/474] 001680 None corp=00121941
11:24:00 [28/474] 001720 None corp=00136721
11:24:12 [29/474] 001740 None corp=00131780
11:24:25 [30/474] 001800 None corp=00117577
11:24:39 [31/474] 002020 None corp=00152862
11:24:52 [32/474] 002350 None corp=00173874
11:25:04 [33/474] 002380 None corp=00105271
11:25:17 [34/474] 002790 None corp=00154462
11:25:30 [35/474] 003030 None corp=00124197
11:25:43 [36/474] 003090 None corp=00111810
11:25:56 [37/474] 003160 None corp=00118275
11:26:09 [38/474] 003230 None corp=00126955
11:26:22 [39/474] 003240 None corp=00153393
11:26:35 [40/474] 003380 None corp=00148364
11:26:48 [41/474] 003470 None corp=00117601
11:27:00 [42/474] 003490 None corp=00113526
11:27:13 [43/474] 003530 None corp=00148610
11:27:25 [44/474] 003540 None corp=00110893
11:27:37 [45/474] 003550 None corp=00120021
11:27:50 [46/474] 003570 None corp=00134477
11:28:03 [47/474] 003620 None corp=00138242
11:28:16 [48/474] 003670 None corp=00155276
11:28:29 [49/474] 003690 None corp=00113191
11:28:41 [50/474] 003850 None corp=00123143
11:28:53 [51/474] 004000 None corp=00157681
11:29:06 [52/474] 004020 None corp=00145880
11:29:19 [53/474] 004170 None corp=00136378
11:29:32 [54/474] 004370 None corp=00108241
11:29:45 [55/474] 004690 None corp=00128555
11:29:58 [56/474] 004800 None corp=00117188
11:30:11 [57/474] 004990 None corp=00120562
11:30:24 [58/474] 005070 None corp=00129989
11:30:36 [59/474] 005090 None corp=00125150
11:30:49 [60/474] 005180 None corp=00124726
11:31:02 [61/474] 005290 None corp=00118804
11:31:15 [62/474] 005300 None corp=00120571
11:31:28 [63/474] 005380 None corp=00164742
11:31:41 [64/474] 005420 None corp=00160302
11:31:54 [65/474] 005440 None corp=00105280
11:32:07 [66/474] 005490 None corp=00155319
11:32:20 [67/474] 005690 None corp=00145163
11:32:32 [68/474] 005830 None corp=00159102
11:32:44 [69/474] 005850 None corp=00125521
11:32:57 [70/474] 005880 None corp=00113535
11:33:10 [71/474] 005930 None corp=00126380
11:33:22 [72/474] 005940 None corp=00120182
11:33:34 [73/474] 006040 None corp=00118026
11:33:48 [74/474] 006120 None corp=00131832
11:34:00 [75/474] 006220 None corp=00148832
11:34:13 [76/474] 006260 None corp=00105952
11:34:26 [77/474] 006280 None corp=00129679
11:34:39 [78/474] 006360 None corp=00120030
11:34:52 [79/474] 006400 None corp=00126362
11:35:05 [80/474] 006650 None corp=00260383
11:35:17 [81/474] 006730 None corp=00130383
11:35:30 [82/474] 006800 None corp=00111722
11:35:43 [83/474] 007070 None corp=00140177
11:35:56 [84/474] 007310 None corp=00141529
11:36:09 [85/474] 007340 None corp=00116949
11:36:22 [86/474] 007390 None corp=00117276
11:36:34 [87/474] 007660 None corp=00107613
11:36:47 [88/474] 007810 None corp=00152686
11:37:00 [89/474] 008770 None corp=00165680
11:37:13 [90/474] 008930 None corp=00161426
11:37:26 [91/474] 009150 None corp=00126371
11:37:39 [92/474] 009240 None corp=00161693
11:37:52 [93/474] 009420 None corp=00162586
11:38:05 [94/474] 009450 None corp=00101488
11:38:17 [95/474] 009520 None corp=00128111
11:38:30 [96/474] 009540 None corp=00164830
11:38:43 [97/474] 009830 None corp=00162461
11:38:56 [98/474] 009970 None corp=00140964
11:39:09 [99/474] 010060 None corp=00148896
11:39:22 [100/474] 010120 None corp=00105855
11:39:35 [101/474] 010130 None corp=00102858
11:39:48 [102/474] 010140 None corp=00126478
11:40:01 [103/474] 010780 None corp=00115977
11:40:15 [104/474] 010950 None corp=00138279
11:40:27 [105/474] 011070 None corp=00105961
11:40:40 [106/474] 011170 None corp=00165413
11:40:53 [107/474] 011200 None corp=00164645
11:41:07 [108/474] 011210 None corp=00106623
11:41:19 [109/474] 011780 None corp=00106368
11:41:32 [110/474] 011790 None corp=00139889
11:41:45 [111/474] 011930 None corp=00136271
11:41:58 [112/474] 012330 None corp=00164788
11:42:11 [113/474] 012450 None corp=00126566
11:42:24 [114/474] 012510 None corp=00172291
11:42:37 [115/474] 012630 None corp=00164636
11:42:50 [116/474] 012750 None corp=00158501
11:43:03 [117/474] 014620 None corp=00132318
11:43:15 [118/474] 014680 None corp=00140955
11:43:29 [119/474] 015750 None corp=00132992
11:43:41 [120/474] 015760 None corp=00159193
11:43:55 [121/474] 016360 None corp=00104856
11:44:07 [122/474] 016610 None corp=00115694
11:44:19 [123/474] 017670 None corp=00159023
11:44:32 [124/474] 017800 None corp=00164724
11:44:45 [125/474] 017960 None corp=00159795
11:44:58 [126/474] 018260 None corp=00126186
11:45:11 [127/474] 018290 None corp=00150165
11:45:24 [128/474] 018670 None corp=00144164
11:45:37 [129/474] 018880 None corp=00161125
11:45:49 [130/474] 020150 None corp=00113997
11:46:03 [131/474] 021240 None corp=00170558
11:46:16 [132/474] 022100 None corp=00155212
11:46:29 [133/474] 023160 None corp=00153375
11:46:41 [134/474] 023530 None corp=00120526
11:46:54 [135/474] 023590 None corp=00176914
11:47:09 [136/474] 024110 None corp=00149646
11:47:21 [137/474] 025320 None corp=00203023
11:47:34 [138/474] 025980 None corp=00161781
11:47:47 [139/474] 026960 None corp=00144395
11:48:00 [140/474] 027360 None corp=00156895
11:48:12 [141/474] 028050 None corp=00126308
11:48:26 [142/474] 028260 None corp=00149655
11:48:39 [143/474] 028300 None corp=00199252
11:48:53 [144/474] 028670 None corp=00122737
11:49:05 [145/474] 029780 None corp=00126292
11:49:17 [146/474] 030000 None corp=00148276
11:49:30 [147/474] 030190 None corp=00158325
11:49:44 [148/474] 030200 None corp=00190321
11:49:57 [149/474] 030520 None corp=00204262
11:50:10 [150/474] 030530 None corp=00216647
11:50:24 [151/474] 030610 None corp=00113359
11:50:36 [152/474] 031980 None corp=00208444
11:50:49 [153/474] 032190 None corp=00238782
11:51:03 [154/474] 032350 None corp=00231372
11:51:16 [155/474] 032640 None corp=00231363
11:51:29 [156/474] 032820 None corp=00231044
11:51:42 [157/474] 032830 None corp=00126256
11:51:55 [158/474] 033100 None corp=00185356
11:52:06 [159/474] 033240 None corp=00146861
11:52:20 [160/474] 033500 None corp=00231105
11:52:33 [161/474] 033780 None corp=00244455
11:52:45 [162/474] 034020 None corp=00159616
11:52:59 [163/474] 034220 None corp=00105873
11:53:12 [164/474] 034230 None corp=00171265
11:53:24 [165/474] 034310 None corp=00158316
11:53:38 [166/474] 034730 None corp=00181712
11:53:51 [167/474] 035250 None corp=00255619
11:54:04 [168/474] 035420 None corp=00266961
11:54:17 [169/474] 035720 None corp=00258801
11:54:31 [170/474] 035760 None corp=00265324
11:54:44 [171/474] 035900 None corp=00258689
11:54:56 [172/474] 036460 None corp=00261285
11:55:10 [173/474] 036530 None corp=00225159
11:55:24 [174/474] 036540 None corp=00301246
11:55:36 [175/474] 036570 None corp=00261443
11:55:50 [176/474] 036620 None corp=00261009
11:56:02 [177/474] 036810 None corp=00223434
11:56:15 [178/474] 036830 None corp=00247975
11:56:28 [179/474] 036930 None corp=00252135
11:56:41 [180/474] 038500 None corp=00239639
11:56:53 [181/474] 039030 None corp=00246417
11:57:06 [182/474] 039130 None corp=00269940
11:57:19 [183/474] 039200 None corp=00263654
11:57:32 [184/474] 039440 None corp=00298340
11:57:45 [185/474] 039490 None corp=00296290
11:57:58 [186/474] 041190 None corp=00231664
11:58:10 [187/474] 041510 None corp=00260930
11:58:23 [188/474] 041920 None corp=00273439
11:58:35 [189/474] 041960 None corp=00187415
11:58:48 [190/474] 042000 None corp=00260879
11:59:01 [191/474] 042520 None corp=00349060
11:59:14 [192/474] 042660 None corp=00111704
11:59:27 [193/474] 042700 None corp=00161383
11:59:40 [194/474] 043260 None corp=00317210
11:59:53 [195/474] 044490 None corp=00186799
12:00:05 [196/474] 045100 None corp=00216762
12:00:18 [197/474] 047040 None corp=00124540
12:00:31 [198/474] 047050 None corp=00124504
12:00:45 [199/474] 047810 None corp=00309503
12:00:57 [200/474] 048410 None corp=00313649
12:01:11 [201/474] 050890 None corp=00364403
12:01:24 [202/474] 051600 None corp=00159218
12:01:37 [203/474] 051900 None corp=00356370
12:01:50 [204/474] 051910 None corp=00356361
12:02:04 [205/474] 052400 None corp=00349732
12:02:17 [206/474] 052690 None corp=00159209
12:02:29 [207/474] 053610 None corp=00325112
12:02:43 [208/474] 053800 None corp=00298270
12:02:55 [209/474] 055550 None corp=00382199
12:03:08 [210/474] 056080 None corp=00234227
12:03:20 [211/474] 056190 None corp=00358271
12:03:33 [212/474] 057050 None corp=00412597
12:03:46 [213/474] 058470 None corp=00369657
12:03:58 [214/474] 058610 None corp=00220686
12:04:12 [215/474] 059090 None corp=00366942
12:04:25 [216/474] 060250 None corp=00357740
12:04:38 [217/474] 060280 None corp=00356802
12:04:50 [218/474] 060370 None corp=00225742
12:05:02 [219/474] 062040 None corp=00366438
12:05:14 [220/474] 064260 None corp=00389970
12:05:27 [221/474] 064350 None corp=00302926
12:05:40 [222/474] 064400 None corp=00139834
12:05:52 [223/474] 064760 None corp=00245472
12:06:04 [224/474] 064960 None corp=00398792
12:06:17 [225/474] 065350 None corp=00136226
12:06:30 [226/474] 066570 None corp=00401731
12:06:43 [227/474] 066970 None corp=00398701
12:06:56 [228/474] 067160 None corp=00399694
12:07:10 [229/474] 067310 None corp=00445054
12:07:23 [230/474] 068270 None corp=00413046
12:07:36 [231/474] 068760 None corp=00541349
12:07:49 [232/474] 069260 None corp=00426086
12:08:01 [233/474] 069620 None corp=00427483
12:08:15 [234/474] 069960 None corp=00428251
12:08:28 [235/474] 071050 None corp=00432102
12:08:40 [236/474] 071320 None corp=00159698
12:08:53 [237/474] 071970 None corp=00406046
12:09:06 [238/474] 073240 None corp=00481454
12:09:19 [239/474] 074600 None corp=00468374
12:09:32 [240/474] 075580 None corp=00415628
12:09:45 [241/474] 077970 None corp=00480455
12:09:58 [242/474] 078160 None corp=00453929
12:10:11 [243/474] 078600 None corp=00177816
