23:02:58 [INFO] year range 2023..2025
23:02:58 [INFO] mode=missing_only metric=revenue_op merge_existing=True
23:02:58 [INFO] universe=data\processed\universe__asof=2026-03-13__metric=revenue_op__v=1.csv rows=435
23:02:58 [INFO] union tickers rows=474
23:02:58 [INFO] explicit tickers rows=1
23:02:58 [INFO] input tickers rows=474 mode=missing_only
23:02:58 [INFO] corp_codes rows=3913
23:02:58 [CHECK] corp_code missing ratio=0.000
23:02:58 [INFO] corp_code usable rows: 474 -> 474
23:02:58 [INFO] no existing fundamentals cache at data\processed\fundamentals_quarterly__asof=2026-03-13__src=dart__fs=CFS__y=2023-2025__v=1.parquet
23:02:58 [INFO] no existing rows; all ticker-year pairs are missing (1422)
23:02:58 [1/1422] 005930 삼성전자 corp=00126380
23:03:03 [2/1422] 005930 삼성전자 corp=00126380
23:03:07 [3/1422] 005930 삼성전자 corp=00126380
23:03:11 [4/1422] 000660 SK하이닉스 corp=00164779
23:03:16 [5/1422] 000660 SK하이닉스 corp=00164779
23:03:20 [6/1422] 000660 SK하이닉스 corp=00164779
23:03:24 [7/1422] 207940 삼성바이오로직스 corp=00877059
23:03:28 [8/1422] 207940 삼성바이오로직스 corp=00877059
23:03:33 [9/1422] 207940 삼성바이오로직스 corp=00877059
23:03:37 [10/1422] 005380 현대자동차 corp=00164742
23:03:41 [11/1422] 005380 현대자동차 corp=00164742
23:03:46 [12/1422] 005380 현대자동차 corp=00164742
23:03:50 [13/1422] 373220 LG에너지솔루션 corp=01515323
23:03:54 [14/1422] 373220 LG에너지솔루션 corp=01515323
23:03:58 [15/1422] 373220 LG에너지솔루션 corp=01515323
23:04:03 [16/1422] 402340 SK스퀘어 corp=01596425
23:04:07 [17/1422] 402340 SK스퀘어 corp=01596425
23:04:11 [18/1422] 402340 SK스퀘어 corp=01596425
23:04:16 [19/1422] 105560 KB금융 corp=00688996
23:04:20 [20/1422] 105560 KB금융 corp=00688996
23:04:24 [21/1422] 105560 KB금융 corp=00688996
23:04:29 [22/1422] 000270 기아 corp=00106641
23:04:33 [23/1422] 000270 기아 corp=00106641
23:04:37 [24/1422] 000270 기아 corp=00106641
23:04:41 [25/1422] 034020 두산에너빌리티 corp=00159616
23:04:46 [26/1422] 034020 두산에너빌리티 corp=00159616
23:04:50 [27/1422] 034020 두산에너빌리티 corp=00159616
23:04:54 [28/1422] 028260 삼성물산 corp=00149655
23:04:59 [29/1422] 028260 삼성물산 corp=00149655
23:05:03 [30/1422] 028260 삼성물산 corp=00149655
23:05:07 [31/1422] 068270 셀트리온 corp=00413046
23:05:11 [32/1422] 068270 셀트리온 corp=00413046
23:05:16 [33/1422] 068270 셀트리온 corp=00413046
23:05:20 [34/1422] 055550 신한지주 corp=00382199
23:05:24 [35/1422] 055550 신한지주 corp=00382199
23:05:29 [36/1422] 055550 신한지주 corp=00382199
23:05:33 [37/1422] 012450 한화에어로스페이스 corp=00126566
23:05:37 [38/1422] 012450 한화에어로스페이스 corp=00126566
23:05:42 [39/1422] 012450 한화에어로스페이스 corp=00126566
23:05:46 [40/1422] 329180 HD현대중공업 corp=01390344
23:05:50 [41/1422] 329180 HD현대중공업 corp=01390344
23:05:54 [42/1422] 329180 HD현대중공업 corp=01390344
23:05:59 [43/1422] 006800 미래에셋증권 corp=00111722
23:06:03 [44/1422] 006800 미래에셋증권 corp=00111722
23:06:07 [45/1422] 006800 미래에셋증권 corp=00111722
23:06:12 [46/1422] 032830 삼성생명 corp=00126256
23:06:16 [47/1422] 032830 삼성생명 corp=00126256
23:06:20 [48/1422] 032830 삼성생명 corp=00126256
23:06:24 [49/1422] 012330 현대모비스 corp=00164788
23:06:29 [50/1422] 012330 현대모비스 corp=00164788
23:06:33 [51/1422] 012330 현대모비스 corp=00164788
23:06:37 [52/1422] 035420 NAVER corp=00266961
23:06:42 [53/1422] 035420 NAVER corp=00266961
23:06:46 [54/1422] 035420 NAVER corp=00266961
23:06:50 [55/1422] 042660 한화오션 corp=00111704
23:06:55 [56/1422] 042660 한화오션 corp=00111704
23:06:59 [57/1422] 042660 한화오션 corp=00111704
23:07:03 [58/1422] 015760 한국전력공사 corp=00159193
23:07:07 [59/1422] 015760 한국전력공사 corp=00159193
23:07:12 [60/1422] 015760 한국전력공사 corp=00159193
23:07:16 [61/1422] 086790 하나금융지주 corp=00547583
23:07:20 [62/1422] 086790 하나금융지주 corp=00547583
23:07:25 [63/1422] 086790 하나금융지주 corp=00547583
23:07:29 [64/1422] 010130 고려아연 corp=00102858
23:07:33 [65/1422] 010130 고려아연 corp=00102858
23:07:37 [66/1422] 010130 고려아연 corp=00102858
23:07:42 [67/1422] 267260 HD현대일렉트릭 corp=01205851
23:07:46 [68/1422] 267260 HD현대일렉트릭 corp=01205851
23:07:50 [69/1422] 267260 HD현대일렉트릭 corp=01205851
23:07:55 [70/1422] 005490 POSCO홀딩스 corp=00155319
23:07:59 [71/1422] 005490 POSCO홀딩스 corp=00155319
23:08:03 [72/1422] 005490 POSCO홀딩스 corp=00155319
23:08:07 [73/1422] 316140 우리금융지주 corp=01350869
23:08:12 [74/1422] 316140 우리금융지주 corp=01350869
23:08:16 [75/1422] 316140 우리금융지주 corp=01350869
23:08:20 [76/1422] 009540 HD한국조선해양 corp=00164830
23:08:25 [77/1422] 009540 HD한국조선해양 corp=00164830
23:08:29 [78/1422] 009540 HD한국조선해양 corp=00164830
23:08:33 [79/1422] 000810 삼성화재해상보험 corp=00139214
23:08:38 [80/1422] 000810 삼성화재해상보험 corp=00139214
23:08:42 [81/1422] 000810 삼성화재해상보험 corp=00139214
23:08:46 [82/1422] 138040 메리츠금융지주 corp=00860332
23:08:50 [83/1422] 138040 메리츠금융지주 corp=00860332
