ticker,industry_code,industry_name
060310,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
095570,147603,산업용 기계 및 장비 임대업
006840,116409,기타 금융업
054620,116409,기타 금융업
265520,032902,특수 목적용 기계 제조업
211270,032604,통신 및 방송 장비 제조업
139050,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
027410,116409,기타 금융업
282330,074701,종합 소매업
126600,032002,합성고무 및 플라스틱 물질 제조업
138930,116409,기타 금융업
001460,031401,봉제의복 제조업
083790,137001,자연과학 및 공학 연구개발업
001040,116409,기타 금융업
079160,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
035760,106002,텔레비전 방송업
311690,137001,자연과학 및 공학 연구개발업
011150,031008,기타 식품 제조업
097950,031008,기타 식품 제조업
051500,074603,음·식료품 및 담배 도매업
058820,032102,의약품 제조업
056730,064101,건물 건설업
000480,032302,"내화, 비내화 요업제품 제조업"
065770,032604,통신 및 방송 장비 제조업
083660,032004,기타 화학제품 제조업
000590,116409,기타 금융업
012030,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
477760,116409,기타 금융업
005830,116501,보험업
016610,116601,금융 지원 서비스업
000990,032601,반도체 제조업
099520,032605,영상 및 음향기기 제조업
000300,033003,자동차 신품 부품 제조업
290120,033003,자동차 신품 부품 제조업
025440,032605,영상 및 음향기기 제조업
001530,074601,상품 중개업
015590,032901,일반 목적용 기계 제조업
000210,032001,기초 화학물질 제조업
375500,064102,토목 건설업
068790,032902,특수 목적용 기계 제조업
007340,032802,일차전지 및 이차전지 제조업
004840,032201,고무제품 제조업
241520,116402,신탁업 및 집합투자업
155660,032402,1차 비철금속 제조업
069730,032401,1차 철강 제조업
017860,032004,기타 화학제품 제조업
180400,137209,기타 과학기술 서비스업
092780,033001,자동차용 엔진 및 자동차 제조업
017940,074607,기타 전문 도매업
418620,105802,소프트웨어 개발 및 공급업
245620,137001,자연과학 및 공학 연구개발업
037370,032001,기초 화학물질 제조업
278990,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
365550,126801,부동산 임대 및 공급업
050120,074604,생활용품 도매업
383220,031401,봉제의복 제조업
007700,116409,기타 금융업
214270,105802,소프트웨어 개발 및 공급업
